[00:02:26] <jcowan> blueyoner: Schemers can has properly spelled names too
[00:03:24] <jcowan> I use `list` as a variable/argument name all the time, as long as I don't need the global `list` function in the same lexical scope
[00:05:06] <sham1> And one can of course assign another name for the global list function if they wish
[00:05:14] <sham1> Just in the lexical scope
[01:14:21] *** Joins: rommudoh[m] (~rommudoht@2001:470:69fc:105::d736)
[01:14:21] *** Joins: pjb (~pjb@user/pjb)
[01:14:21] *** Joins: abraham (~abraham@143.244.185.86)
[01:14:21] *** Joins: vito (sid1962@user/vito)
[01:14:21] *** Joins: terrorjack (~terrorjac@2a01:4f8:1c1e:509a::1)
[01:14:21] *** Joins: hanshen[m]1 (~hanshenma@2001:470:69fc:105::1:3da8)
[01:14:21] *** Joins: ahlk (~user@2600:1700:31c0:3a10::43)
[01:14:21] *** Joins: Arw (~Arwalk@lfbn-dij-1-1462-22.w109-221.abo.wanadoo.fr)
[01:14:21] *** Joins: dto (sid344636@user/dto)
[01:14:21] *** Joins: runejuhl (~runejuhl@user/runejuhl)
[01:14:21] *** Joins: drmeister (sid45147@id-45147.ilkley.irccloud.com)
[01:14:21] *** Joins: specbot (~specbot@common-lisp.net)
[01:14:21] *** Joins: bmansurov (~bmansurov@mansurov.org)
[01:14:21] *** Joins: d_run (sid83858@id-83858.hampstead.irccloud.com)
[01:14:21] *** Joins: leo_song (~leo_song@user/leo-song/x-7207016)
[01:14:21] *** Joins: uiop1 (sid36937@id-36937.tinside.irccloud.com)
[01:14:21] *** Joins: dmgk (~dmgk@user/dmgk)
[01:14:21] *** Joins: hjudt (~hjudt@62-178-177-178.cable.dynamic.surfer.at)
[01:14:21] *** Joins: griffinmb (sid410590@id-410590.helmsley.irccloud.com)
[01:14:21] *** Joins: tevo (~tevo@164.163.113.252.yesconnect.net.br)
[01:14:21] *** Joins: cheers (user@2600:3c00::f03c:91ff:fe1c:3c39)
[01:14:21] *** Joins: ogamita (~t@hubble.informatimago.com)
[01:14:21] *** Joins: dbotton (sid492350@lymington.irccloud.com)
[01:14:21] *** Joins: victor_ (sid208353@tinside.irccloud.com)
[01:14:21] *** Joins: pl (sid98063@helmsley.irccloud.com)
[01:14:21] *** Joins: alanz (sid110616@uxbridge.irccloud.com)
[01:14:21] *** Joins: jsatk (sid304796@helmsley.irccloud.com)
[01:14:21] *** Joins: lukego (sid312033@lymington.irccloud.com)
[01:14:21] *** Joins: gendl (sid100083@hampstead.irccloud.com)
[01:14:21] *** Joins: mrkajetanp (~mrkajetan@2a01:4b00:ea36:6c00:7994:941c:3f5d:2b88)
[01:14:21] *** Joins: hexology (~hexology@user/hexology)
[01:14:21] *** Joins: fe[nl]ix (~quassel@2a01:4f8:200:2425::adda)
[01:14:21] *** Joins: tgbugs (~hyperion2@cpe-70-95-172-122.san.res.rr.com)
[01:14:21] *** Joins: GreaseMonkey (greaser@user/greasemonkey)
[01:14:21] *** Joins: mcfrdy (~mcfrdy@user/mcfrdy)
[01:14:21] *** Joins: mzan (~quassel@mail.asterisell.com)
[01:14:21] *** Joins: mfiano (~mfiano@li1282-157.members.linode.com)
[01:14:21] *** Joins: Duuqnd (~duuqnd@2001:470:69fc:105::e9c0)
[01:14:21] *** Joins: siraben (~siraben@user/siraben)
[01:14:21] *** Joins: happy-dude (~happy-dud@2001:470:69fc:105::b4d7)
[01:14:21] *** Joins: kadoban (~kadoban@user/kadoban)
[01:14:21] *** Joins: dash[m] (~washortgr@2001:470:69fc:105::8d8)
[01:14:21] *** Joins: sepanko (~sepanko@user/sepanko)
[01:14:21] *** Joins: punnie (~punniemat@2001:470:69fc:105::1193)
[01:14:21] *** Joins: infra_red[m] (~infraredm@2001:470:69fc:105::849)
[01:14:21] *** Joins: artemon (~artemon@2001:470:69fc:105::87c)
[01:14:21] *** strontium.libera.chat sets mode: +o fe[nl]ix
[01:14:21] *** Joins: psi[m] (~psikdeorg@2001:470:69fc:105::948f)
[01:14:21] *** Joins: Spawns_Carpet[m] (~inceptor-@2001:470:69fc:105::1:298b)
[01:14:21] *** Joins: Arcsech (~arcsechma@2001:470:69fc:105::1:797)
[01:14:21] *** Joins: RRRRedEye[m] (~uixneanmo@2001:470:69fc:105::f9d6)
[01:14:21] *** Joins: dieggsy (~dieggsy@2001:470:69fc:105::91f)
[01:14:21] *** Joins: elflng (~elflng@5.28.137.182)
[01:14:21] *** Joins: bigpresh (~bigpresh@libera/staff/bigpresh)
[01:14:21] *** Joins: flip214 (~marek@user/flip214)
[01:14:21] *** Joins: TheCoffeMaker (~TheCoffeM@user/thecoffemaker)
[01:14:21] *** Joins: seisatsu (~seisatsu@107.161.24.70)
[01:14:21] *** Joins: rdrg109 (~rdrg109@user/rdrg109)
[01:14:21] *** Joins: eschaton (~eschaton@li541-49.members.linode.com)
[01:14:21] *** Joins: jurov (~jurov@rev-81-92-255-36.radiolan.sk)
[01:14:21] *** Joins: cognemo (~cognemo@cpe-46-164-24-121.dynamic.amis.net)
[01:14:21] *** Joins: pieguy128 (~pieguy128@bas1-quebec14-67-70-102-17.dsl.bell.ca)
[01:14:21] *** Joins: ChanServ (ChanServ@services.libera.chat)
[01:14:21] *** Joins: dim (~dimlibera@212.85.154.83)
[01:14:21] *** Joins: contrapunctus (a75f5b1571@jabberfr.org)
[01:14:21] *** Joins: swistak (~swistak@185.21.216.141)
[01:14:21] *** Joins: opcode (~nathan@user/opcode)
[01:14:21] *** Joins: phadthai (mmondor@user/phadthai)
[01:14:21] *** Joins: teiresias (~chris@blvuug/founder/teiresias)
[01:14:21] *** Joins: SAL9000 (~SAL9000@shirakumo/sal9000)
[01:14:21] *** Joins: gabc (~gabc@user/gabc)
[01:14:21] *** Joins: eco (~ubuntu@ec2-54-201-230-197.us-west-2.compute.amazonaws.com)
[01:14:21] *** Joins: loke (~loke@junk.nocrew.org)
[01:14:21] *** Joins: ft (~ft@shell.chaostreff-dortmund.de)
[01:14:21] *** Joins: sham1 (~sham1@212-146-44-107.aboa.net)
[01:14:21] *** Joins: dstein64 (~dstein64@dannyadam.com)
[01:14:21] *** Joins: lonjil (~quassel@user/lonjil)
[01:14:21] *** Joins: zenptr (~zenptr@user/zenptr)
[01:14:21] *** Joins: shenghi (~shenghi@chrysocolla.mutablevoid.org)
[01:14:21] *** Joins: aaronm04 (~user@user/aaronm04)
[01:14:21] *** Joins: smorgasbord (buggy@user/smorgasbord)
[01:14:21] *** Joins: hugo (znc@verdigris.lysator.liu.se)
[01:14:21] *** Joins: seabre (~seabre@user/seabre)
[01:14:21] *** Joins: amazigh (~amirouche@user/amirouche)
[01:14:21] *** Joins: madnificent (~madnifice@static.210.74.63.178.clients.your-server.de)
[01:14:21] *** Joins: matthewcroughan_ (~quassel@static.211.38.12.49.clients.your-server.de)
[01:14:21] *** Joins: krjst (~krjst@2604:a880:800:c1::16b:8001)
[01:14:21] *** Joins: fiddlerwoaroof (~fiddlerwo@user/fiddlerwoaroof)
[01:14:21] *** Joins: djinni` (~djinni@static.38.6.217.95.clients.your-server.de)
[01:14:21] *** Joins: zups (~meow@2a01:4f9:c010:6036::1)
[01:14:21] *** Joins: Svjatoslav (~Svjatosla@62.210.108.187)
[01:14:21] *** Joins: luis (~luis@lisp/luis)
[01:14:21] *** Joins: mister_m (~user@c-73-110-154-209.hsd1.il.comcast.net)
[01:14:21] *** Joins: moon-child (~moon-chil@cardinal.elronnd.net)
[01:14:21] *** strontium.libera.chat sets mode: +oo ChanServ luis
[01:14:21] *** Joins: jfb4 (~jfb4@178.62.2.68)
[01:14:21] *** Joins: ck_ (~ck@plskthx.org)
[01:14:21] *** Joins: edr (~edr@user/edr)
[01:14:21] *** Joins: emacsomancer (~emacsoman@136.60.128.68)
[01:14:21] *** Joins: AndrewYu (~andrew@user/andrewyu)
[01:14:21] *** Joins: casaca (~casaca@user/casaca)
[01:14:21] *** Joins: phoe (~phoe@user/phoe)
[01:14:21] *** Joins: APic (apic@apic.name)
[01:14:21] *** Joins: HDurer (~hdurer@104.132.45.86)
[01:14:21] *** Joins: deltab (~deltab@user/deltab)
[01:14:21] *** Joins: bailon (~gizzard@saturn.whatbox.ca)
[01:14:21] *** Joins: luna-is-here (~quassel@2a02:908:f761:2a3c::a)
[01:14:21] *** Joins: samebchase (~thelounge@51.15.68.182)
[01:14:29] *** Quits: lucerne (~lucerne@ip202.ip-51-178-215.eu) (Max SendQ exceeded)
[01:14:32] *** Quits: sbodin (~Android@185.12.224.209) (Ping timeout: 256 seconds)
[01:15:20] *** Joins: lucerne (~lucerne@ip202.ip-51-178-215.eu)
[01:15:52] *** Quits: Colt (~Colt@user/colt) (Remote host closed the connection)
[01:16:16] *** Joins: Colt (~Colt@user/colt)
[01:17:40] *** Quits: taiju (~taiju@240b:253:ec40:2400:2d48:f53f:bd4f:c325) (Ping timeout: 264 seconds)
[01:18:31] *** Joins: taiju (~taiju@240b:253:ec40:2400:2d48:f53f:bd4f:c325)
[01:34:45] *** Quits: tripfandango (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f) (Quit: Leaving...)
[01:36:17] *** Joins: tripfandango (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f)
[01:40:46] *** Joins: esb (~esb@2804:14c:1ad:8b70::1000)
[01:40:47] *** Joins: dre (~dre@2001:8003:c932:c301:ca62:53a2:f102:5ef0)
[01:50:01] *** Quits: poselyqualityles (~poselyqua@user/poselyqualityles) (Ping timeout: 256 seconds)
[02:03:41] *** Joins: pillton (~user@124.170.14.166)
[02:09:06] *** Quits: tripfandango (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f) (Quit: Leaving...)
[02:16:40] *** Joins: tripfand_ (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f)
[02:17:01] *** Quits: tripfand_ (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f) (Client Quit)
[02:21:26] *** Joins: tripfandango (~tripfanda@2a00:a040:19e:72a1:1173:6f21:463c:2e4f)
[02:22:33] *** Quits: xsperry (~xs@user/xsperry) ()
[02:26:30] *** Joins: dra (~dra@2a04:4540:6417:fd00:95b5:5aa6:2917:4089)
[02:27:17] *** Quits: cosimone (~user@93-47-231-139.ip115.fastwebnet.it) (Remote host closed the connection)
[02:32:26] *** Quits: Algernon666 (~Algernon6@2a04:cec0:11ca:25f:c1b:1f06:29f:a3d) (Ping timeout: 245 seconds)
[02:43:26] *** Joins: tyson2 (~user@bras-base-toroon0624w-grc-19-70-31-33-162.dsl.bell.ca)
[02:43:30] *** Joins: xsperry (~xs@user/xsperry)
[02:53:08] *** Joins: dld (~dld@107.126.252.194)
[02:58:08] *** Quits: masterbuilder (~user@user/masterbuilder) (Remote host closed the connection)
[03:00:10] *** Joins: xwjqv (~sven@2a00:20:7048:1d9b:b851:4cfd:42ba:6716)
[03:01:25] *** Quits: theothornhill (~user@217.84-49-191.nextgentel.com) (Ping timeout: 256 seconds)
[03:02:51] <kagevf> pjb: "you can define your own namespaces" - did you literally mean "namespace" or were you using it as a synonym for "package"?
[03:03:13] <kagevf> (from your conversation with ori earlier)
[03:06:52] *** Quits: yewscion (~yewscion@52.94.133.128) (Ping timeout: 264 seconds)
[03:07:17] *** Joins: karlosz (~karlosz@47.151.136.69)
[03:07:42] *** Joins: z3t0 (~z3t0@146.71.14.98)
[03:07:51] <moon-child> (defvar *blubbler* (make-hash-table :test #'eq))
[03:08:04] *** Quits: dld (~dld@107.126.252.194) (Ping timeout: 264 seconds)
[03:08:07] <moon-child> kagevf: ^ above defines a new namespace for 'blubblers' (whatever those may happen to be)
[03:08:33] *** Joins: dld (~dld@107.126.253.134)
[03:10:21] <pillton> moon-child: No. The operations FIND-BUBBLER and ENSURE-BUBBLER define a new namespace.
[03:11:48] <moon-child> sure, fair enough
[03:12:02] *** Joins: Lycurgus (~juan@98.4.112.204)
[03:15:00] <kagevf> so if I define a dynamic variable, and further define find-<variable name> and ensure-<variable name> I have a namespace??
[03:15:11] *** Quits: aartaka (aartaka@gateway/vpn/protonvpn/aartaka) (Ping timeout: 252 seconds)
[03:15:32] <kagevf> oh, but it has to be a hashtable .... ok
[03:15:47] <kagevf> interesting ... thank you
[03:16:32] <kagevf> what exactly would ENSURE- do?
[03:21:13] *** Quits: dra (~dra@2a04:4540:6417:fd00:95b5:5aa6:2917:4089) (Quit: Leaving)
[03:28:55] <pjb> kagevf: it doesn't have to be a hash-table. It can be any kind of mapping between a name and an object.
[03:32:14] <pillton> kagevf: ENSURE-BUBBLER installs a binding between a NAME and an OBJECT. FIND-BUBBLER retrieves the object for a given NAME.
[03:34:38] <kagevf> pjb: right, makes sense
[03:35:18] <pjb> kagevf: https://termbin.com/squ7
[03:35:51] <kagevf> pillton: "installs a binding" - would that abstract the interaction with the hash table (or whichever key-value store we use)?
[03:38:57] <pillton> kagevf: That is right. A namespace is simply a set of name->object pairs. How the set is stored and mutated is irrelevant.
[03:43:00] <kagevf> pillton: I see ... thank you for confirming
[03:43:08] <kagevf> pjb: wow thank you for all that ... 
[03:50:23] *** Joins: asen (~asen@2408:821b:618:2ef0:ab85:814b:bf8f:a143)
[03:51:38] <kagevf> I never thought (but by now I should've known) that you could create your own namespaces in CL
[03:51:45] *** Quits: asen (~asen@2408:821b:618:2ef0:ab85:814b:bf8f:a143) (Read error: Connection reset by peer)
[03:51:58] *** Joins: asen (~asen@2408:821b:618:2ef0:ab85:814b:bf8f:a143)
[03:52:19] *** Quits: VincentVega (~user@212.241.28.73) (Remote host closed the connection)
[03:52:28] *** Quits: Lycurgus (~juan@98.4.112.204) (Quit: Exeunt)
[03:53:53] <kagevf> I don't know scheme much at all, but could something like this be used in scheme to support multiple namespaces? or does it have some fundamental flaw preventing this from working? ... just curious ... 
[03:54:16] *** Quits: dld (~dld@107.126.253.134) (Ping timeout: 264 seconds)
[03:55:01] <pjb> kagevf: then you can define a macro such as (color-let ((green (0.1 1.0 0.2)))  (fill-rect (mix blue green)))
[03:55:37] <pjb> kagevf: something like that exists in scheme, for dynamic variables, named parameters.
[03:57:49] <pjb> kagevf: but scheme likes to have a single namespace.  So you'd have; (let ((f (lambda (c) (fill-rect (mix blue c)))) (green (color 0.1 1.0 0.2))) (f green))
[04:00:05] *** Joins: grayn (Thunderbir@gateway/vpn/protonvpn/grayn)
[04:04:39] *** Joins: xiews (~wxie@2409:891f:1840:6bc:8432:e8e7:442a:a578)
[04:09:24] *** Quits: acolarh (~niels@3e6be663.rev.stofanet.dk) (Ping timeout: 265 seconds)
[04:16:03] *** Quits: mariari (~mariari@user/mariari) (Quit: WeeChat 3.3)
[04:16:18] *** Joins: mariari (~mariari@user/mariari)
[04:18:51] *** Quits: blueyoner (~isaac@2a01:c22:ac69:c800:fb2a:b877:cd02:747f) (Ping timeout: 268 seconds)
[04:19:32] <kagevf> pjb: I see ... thank you for the examples! 
[04:22:35] *** Joins: acolarh (~niels@3e6be663.rev.stofanet.dk)
[04:25:34] *** Quits: xiews (~wxie@2409:891f:1840:6bc:8432:e8e7:442a:a578) (Read error: Connection reset by peer)
[04:25:40] <mdhughes> And in my actual graphics library, I use a combination of symbols, which are keys in an application-specific palette hashtable, ints (decomposed as ARGB), and 4-vectors. SDL takes them as 4 args, so it has to be decomposed sometime.
[04:26:28] *** Joins: xiews (~wxie@2409:891f:1840:6bc:8432:e8e7:442a:a578)
[04:26:53] <mdhughes> And if I had a more modern color API, I'd need another way to represent HSL for HDR displays.
[04:27:47] *** Quits: acolarh (~niels@3e6be663.rev.stofanet.dk) (Ping timeout: 252 seconds)
[04:34:53] <White_Flame> if your color names were symbols, then a plist entry on the symbol would be faster than a hashtable lookup
[04:35:01] <White_Flame> if speed is the primary concern
[04:35:12] <White_Flame> probably take less space, too
[04:37:24] <mdhughes> This is in Scheme, and in any case, probably not. A palette is just large enough to make hashtables faster than an alist or tree.
[04:37:25] <White_Flame> (oh wait, I think I'm crossing channel contexts)
[04:40:29] *** Joins: grayn1 (~Thunderbi@130.95.254.164)
[04:40:56] *** Joins: acolarh (~niels@3e6be663.rev.stofanet.dk)
[04:41:09] *** Quits: grayn (Thunderbir@gateway/vpn/protonvpn/grayn) (Ping timeout: 256 seconds)
[04:41:09] *** grayn1 is now known as grayn
[04:42:16] *** Quits: random-nick (~random-ni@87.116.165.83) (Ping timeout: 264 seconds)
[04:52:28] *** Quits: xiews (~wxie@2409:891f:1840:6bc:8432:e8e7:442a:a578) (Ping timeout: 264 seconds)
[04:53:15] *** Joins: xiews (~wxie@124.77.91.17)
[05:02:27] *** Joins: grayn1 (Thunderbir@gateway/vpn/protonvpn/grayn)
[05:03:49] *** Quits: grayn (~Thunderbi@130.95.254.164) (Ping timeout: 256 seconds)
[05:03:49] *** grayn1 is now known as grayn
[05:09:02] *** Quits: mathrick_ (~mathrick@67.148.61.162) (Ping timeout: 240 seconds)
[05:17:27] *** hexology is now known as hexology_
[05:17:51] *** hexology_ is now known as hexology__
[05:18:08] *** hexology__ is now known as hexology`
[05:18:12] *** hexology` is now known as hexology_`
[05:18:57] *** hexology_` is now known as hexology
[05:19:44] *** Quits: OlCe (~user@lfbn-nic-1-564-52.w90-118.abo.wanadoo.fr) (Ping timeout: 256 seconds)
[05:23:54] *** Quits: ec_ (~ec@gateway/tor-sasl/ec) (Remote host closed the connection)
[05:30:32] *** Quits: madage (~madage@user/madage) (Remote host closed the connection)
[05:30:51] *** Joins: madage (~madage@user/madage)
[05:46:53] *** Quits: prxq_ (~quassel@x4dbe8eed.dyn.telefonica.de) (Ping timeout: 256 seconds)
[05:47:23] *** Joins: mathrick (~mathrick@67.148.61.162)
[05:47:48] *** Joins: OlCe` (~user@lfbn-nic-1-262-221.w90-116.abo.wanadoo.fr)
[05:51:25] *** Quits: mononote (~mononote@user/mononote) (Ping timeout: 256 seconds)
[05:54:08] *** Quits: mathrick (~mathrick@67.148.61.162) (Ping timeout: 252 seconds)
[05:56:16] *** Joins: mathrick (~mathrick@67.148.61.162)
[05:57:19] *** Quits: asen (~asen@2408:821b:618:2ef0:ab85:814b:bf8f:a143) (Quit: Leaving)
[06:04:11] *** Joins: x88x88x (~cheeg@gateway/vpn/pia/x88x88x)
[06:04:27] *** Quits: grayn (Thunderbir@gateway/vpn/protonvpn/grayn) (Ping timeout: 256 seconds)
[06:07:25] *** Joins: shroomreactionar (~shroomrea@2001:470:69fc:105::1:409e)
[06:08:40] *** Quits: taiju (~taiju@240b:253:ec40:2400:2d48:f53f:bd4f:c325) (Ping timeout: 264 seconds)
[06:10:28] *** Quits: jao (~jao@45.152.183.60) (Ping timeout: 264 seconds)
[06:14:38] *** Quits: xgqt (~xgqt@gentoo/developer/xgqt) (Quit: WeeChat 3.3)
[06:14:54] *** Joins: xgqt (~xgqt@gentoo/developer/xgqt)
[06:18:36] *** Joins: poselyqualityles (~poselyqua@user/poselyqualityles)
[06:30:46] *** Joins: taiju (~taiju@M014013236064.v4.enabler.ne.jp)
[07:04:26] *** Joins: hiruji (~hiruji@user/hiruji)
[07:11:38] *** Quits: terrorjack (~terrorjac@2a01:4f8:1c1e:509a::1) (Quit: The Lounge - https://thelounge.chat)
[07:13:13] *** Joins: terrorjack (~terrorjac@static.3.200.12.49.clients.your-server.de)
[07:34:11] *** Joins: Lycurgus (~juan@98.4.112.204)
[07:39:06] *** Quits: pdietz (~pdietz@216-59-66-162.static.firstlight.net) (Ping timeout: 256 seconds)
[07:42:30] *** Quits: Sheilong (uid293653@id-293653.ilkley.irccloud.com) ()
[07:45:52] *** Quits: x88x88x (~cheeg@gateway/vpn/pia/x88x88x) (Ping timeout: 264 seconds)
[07:58:07] *** Joins: mononote (~mononote@user/mononote)
[07:59:09] *** Joins: dld (~dld@73.61.8.208)
[08:00:05] *** Quits: xiews (~wxie@124.77.91.17) (Ping timeout: 252 seconds)
[08:01:14] *** Joins: xiews (~wxie@2409:891e:6a20:1b04:1850:796d:98a5:3fef)
[08:06:52] *** Quits: dld (~dld@73.61.8.208) (Ping timeout: 264 seconds)
[08:08:30] *** Joins: dld (~dld@2601:197:600:1210:4c8f:59ca:20e7:8c51)
[08:17:41] *** Quits: dld (~dld@2601:197:600:1210:4c8f:59ca:20e7:8c51) (Ping timeout: 252 seconds)
[08:18:47] *** Quits: Lycurgus (~juan@98.4.112.204) (Quit: Exeunt)
[08:24:50] *** Quits: cjb (~cjb@user/cjb) (Quit: rcirc on GNU Emacs 29.0.50)
[08:29:04] *** Quits: poselyqualityles (~poselyqua@user/poselyqualityles) (Ping timeout: 264 seconds)
[08:32:04] *** Quits: xiews (~wxie@2409:891e:6a20:1b04:1850:796d:98a5:3fef) (Ping timeout: 264 seconds)
[08:35:18] *** Joins: xiews (~wxie@124.77.91.17)
[08:45:37] *** Quits: tyson2 (~user@bras-base-toroon0624w-grc-19-70-31-33-162.dsl.bell.ca) (Remote host closed the connection)
[08:50:10] *** Quits: waleee (~waleee@h-82-196-111-63.NA.cust.bahnhof.se) (Quit: WeeChat 3.3)
[09:08:27] *** Joins: grayn (~Thunderbi@130.95.254.164)
[09:29:52] *** Joins: rain3 (~rain3___@2a02:2f09:d00c:8800:e5a:2f8d:20e4:29e8)
[09:37:27] *** Joins: galex-713 (~quassel@galex-713.eu)
[09:39:30] *** Quits: grayn (~Thunderbi@130.95.254.164) (Read error: Connection reset by peer)
[09:39:47] *** Joins: grayn (~Thunderbi@130.95.254.164)
[09:44:15] *** Joins: grayn1 (Thunderbir@gateway/vpn/protonvpn/grayn)
[09:44:19] *** Quits: grayn (~Thunderbi@130.95.254.164) (Ping timeout: 256 seconds)
[09:44:19] *** grayn1 is now known as grayn
[09:47:01] *** Joins: shka (~herr@83.175.151.96.piasta.pl)
[09:56:11] *** Quits: rain3 (~rain3___@2a02:2f09:d00c:8800:e5a:2f8d:20e4:29e8) (Remote host closed the connection)
[09:56:29] *** Joins: rain3 (~rain3___@2a02:2f09:d00c:8800:e5a:2f8d:20e4:29e8)
[10:22:41] *** Quits: galex-713 (~quassel@galex-713.eu) (Ping timeout: 268 seconds)
[10:32:46] *** Quits: skapata (~Skapata@user/skapata) (Remote host closed the connection)
[11:05:45] *** Joins: aartaka (aartaka@gateway/vpn/protonvpn/aartaka)
[11:07:37] *** Quits: xiews (~wxie@124.77.91.17) (Ping timeout: 256 seconds)
[11:08:01] *** Joins: xiews (~wxie@124.77.91.17)
[11:10:24] <RRRRedEye[m]> is there any dialect on dart for flutter? XD
[11:14:25] *** Quits: jeosol (~jeosol@76-238-186-228.lightspeed.hstntx.sbcglobal.net) (Ping timeout: 256 seconds)
[11:14:56] <wasamasa> RRRRedEye[m]: this is #lisp, not #javascript, so your chances are abysmally low someone did that for fun
[11:15:06] *** Quits: xwjqv (~sven@2a00:20:7048:1d9b:b851:4cfd:42ba:6716) (Ping timeout: 268 seconds)
[11:16:23] *** Joins: Algernon69 (~Algernon6@2a01:e0a:511:6ce0:1109:780a:f24c:772c)
[11:16:45] <wasamasa> ori: is this myrddin ori?
[11:17:57] *** Joins: Algernon91 (~Algernon6@2a04:cec0:11ca:25f:b1ee:5079:b9f6:a56f)
[11:18:22] <moon-child> wasamasa: nope, that would be Ori_B
[11:18:38] *** Quits: makomo (~makomo@user/makomo) (Ping timeout: 252 seconds)
[11:19:04] <moon-child> (whom I would guess you can find in #cat-v)
[11:20:49] <wasamasa> ok
[11:21:13] *** Quits: amb007 (~a_bakic@102.215.76.86.rev.sfr.net) (Ping timeout: 256 seconds)
[11:21:29] *** Joins: amb007 (~a_bakic@65.145.204.77.rev.sfr.net)
[11:21:59] *** Quits: Algernon69 (~Algernon6@2a01:e0a:511:6ce0:1109:780a:f24c:772c) (Ping timeout: 250 seconds)
[11:25:47] *** Quits: aartaka (aartaka@gateway/vpn/protonvpn/aartaka) (Ping timeout: 252 seconds)
[11:29:58] *** Joins: blueyoner (~isaac@2a01:c22:a586:100:eba2:85f6:e9d6:7a7)
[11:44:45] <shroomreactionar> what server is #cat-v on?
[11:45:13] <moon-child> this one
[11:46:09] *** Quits: amb007 (~a_bakic@65.145.204.77.rev.sfr.net) (Ping timeout: 256 seconds)
[11:46:10] *** Joins: aartaka (aartaka@gateway/vpn/protonvpn/aartaka)
[11:46:26] *** Joins: amb007 (~a_bakic@171.246.204.77.rev.sfr.net)
[11:50:50] *** Quits: grayn (Thunderbir@gateway/vpn/protonvpn/grayn) (Read error: Connection reset by peer)
[11:53:24] <amazigh> TIL: cat-v is plan9 channel
[11:59:45] *** Quits: amb007 (~a_bakic@171.246.204.77.rev.sfr.net) (Ping timeout: 256 seconds)
[12:00:46] *** Joins: amb007 (~a_bakic@129.199.204.77.rev.sfr.net)
[12:04:02] *** Joins: cosimone (~user@2001:b07:ae5:db26:a7aa:8027:6b4e:2fb3)
[12:12:57] *** Quits: amb007 (~a_bakic@129.199.204.77.rev.sfr.net) (Read error: Connection reset by peer)
[12:14:20] *** Joins: amb007 (~a_bakic@129.199.204.77.rev.sfr.net)
[12:14:20] *** Quits: amb007 (~a_bakic@129.199.204.77.rev.sfr.net) (Read error: Connection reset by peer)
[12:15:24] *** Joins: amb007 (~a_bakic@host.26.88.68.195.rev.coltfrance.com)
[12:17:26] *** Quits: dre (~dre@2001:8003:c932:c301:ca62:53a2:f102:5ef0) (Quit: Leaving)
[12:18:36] *** Joins: kingofcsu (~kingofcsu@123.118.74.105)
[12:23:31] *** Quits: krl_ (~krl@h-158-174-122-239.A357.priv.bahnhof.se) (Remote host closed the connection)
[12:32:42] *** Joins: Avichi (~Avichi@2001:980:1b5c:1:af82:872:cdf:b83b)
[12:33:16] *** Quits: clintm (~user@2603:3023:a74:d000:3cb8:1dc8:b0da:eb36) (Ping timeout: 264 seconds)
[12:38:05] *** Joins: krl (~krl@h-158-174-122-239.A357.priv.bahnhof.se)
[12:44:15] *** Joins: alexshendi (~alexshend@2a02:8070:8796:7600:7db6:5440:d165:e5bd)
[12:44:45] *** Quits: krl (~krl@h-158-174-122-239.A357.priv.bahnhof.se) (Remote host closed the connection)
[12:50:59] *** Joins: krl (~krl@h-158-174-122-239.A357.priv.bahnhof.se)
[12:55:08] *** Joins: gproto23 (~gproto23@user/gproto23)
[12:55:33] *** Joins: VincentVega (~user@212.241.28.73)
[12:55:51] *** Quits: krl (~krl@h-158-174-122-239.A357.priv.bahnhof.se) (Ping timeout: 256 seconds)
[12:56:04] *** Joins: kevingal (~quassel@2a02:8084:4140:f300:79ff:66df:e107:bbfa)
[12:59:06] *** Joins: clintm (~user@2603:3023:a74:d000:3cb8:1dc8:b0da:eb36)
[13:02:49] *** Joins: lisp123 (~lisp123@5.30.23.247)
[13:04:15] *** Quits: clintm (~user@2603:3023:a74:d000:3cb8:1dc8:b0da:eb36) (Ping timeout: 268 seconds)
[13:16:33] *** Joins: clintm (~user@2603:3023:a74:d000:e0f7:87ca:d846:2c50)
[13:16:49] *** Quits: lisp123 (~lisp123@5.30.23.247) (Remote host closed the connection)
[13:22:28] *** Quits: clintm (~user@2603:3023:a74:d000:e0f7:87ca:d846:2c50) (Ping timeout: 264 seconds)
[13:27:37] *** Joins: waleee (~waleee@2001:9b0:216:8200:d457:9189:7843:1dbd)
[13:33:08] *** Joins: Lord_of_Life_ (~Lord@user/lord-of-life/x-2819915)
[13:33:49] *** Quits: Lord_of_Life (~Lord@user/lord-of-life/x-2819915) (Ping timeout: 256 seconds)
[13:33:55] *** Joins: clintm (~user@2603:3023:a74:d000:e0f7:87ca:d846:2c50)
[13:34:28] *** Lord_of_Life_ is now known as Lord_of_Life
[13:38:53] *** Quits: clintm (~user@2603:3023:a74:d000:e0f7:87ca:d846:2c50) (Ping timeout: 252 seconds)
[13:42:11] *** Quits: waleee (~waleee@2001:9b0:216:8200:d457:9189:7843:1dbd) (Ping timeout: 252 seconds)
