[00:02:24] *** Joins: rgherdt__ (~rgherdt@2a01:598:d036:698b:4f59:ac7:3ad8:3320)
[00:02:31] *** Joins: gaqwas (~john@dynamic-095-118-123-231.95.118.pool.telefonica.de)
[00:04:55] *** Quits: rgherdt_ (~rgherdt@2a01:598:d038:d67f:f4bd:95ae:c30:7222) (Ping timeout: 250 seconds)
[00:05:46] *** Quits: scymtym (~user@2001:638:504:20e6:6ac3:87e0:e782:f3fc) (Ping timeout: 260 seconds)
[00:05:48] *** Quits: Brucio-92 (~Brucio-92@2001:638:504:20e6:6ac3:87e0:e782:f3fc) (Ping timeout: 250 seconds)
[00:16:33] *** Quits: gaqwas (~john@dynamic-095-118-123-231.95.118.pool.telefonica.de) (Remote host closed the connection)
[00:19:02] *** Quits: tophullyte (tophullyte@gateway/vpn/protonvpn/tophullyte) (Quit: Leaving)
[00:44:10] *** Joins: Posterdati (~posterdat@host-87-19-166-231.retail.telecomitalia.it)
[00:44:10] *** Joins: Bike (~Glossina@71.69.170.70)
[00:44:10] *** Joins: ullbeking_ (sid5364@ilkley.irccloud.com)
[00:44:10] *** Joins: mason (~mason@redhat/mason)
[00:44:10] *** Joins: jackdaniel (~jack@turtleware.eu)
[00:44:10] *** Joins: amb007 (~a_bakic@102.215.76.86.rev.sfr.net)
[00:44:10] *** Joins: dilated_dinosaur (~dino@cpc1-bexl9-2-0-cust231.2-3.cable.virginm.net)
[00:44:10] *** Joins: santiagopim (~user@84.78.243.45)
[00:44:10] *** Joins: lonjil (~quassel@user/lonjil)
[00:44:10] *** Joins: zups (~meow@2a01:4f9:c010:6036::1)
[00:44:10] *** Joins: even4void (even4void@came.here.for-some.fun)
[00:44:10] *** Joins: dcx (~dcx@user/dac)
[00:44:10] *** Joins: gabc (~gabc@user/gabc)
[00:44:10] *** Joins: bollu (~bollu@159.65.151.13)
[00:44:10] *** Joins: copec (~copec@schrodbox.unaen.org)
[00:44:10] *** Joins: lieven (~mal@ns2.wyrd.be)
[00:44:10] *** Joins: antoszka (sid528518@id-528518.uxbridge.irccloud.com)
[00:44:10] *** Joins: jmercouris (sid438340@id-438340.hampstead.irccloud.com)
[00:44:10] *** Joins: nworb (~zbrownm]@2001:470:69fc:105::1:33db)
[00:44:10] *** Joins: Duuqnd (~duuqnd@2001:470:69fc:105::e9c0)
[00:44:10] *** Joins: CodeBitCookie[m] (~code-bit-@2001:470:69fc:105::a2f)
[00:44:10] *** Joins: seragold[m] (~seragoldm@2001:470:69fc:105::1:6b7f)
[00:44:10] *** Joins: Spawns_Carpet[m] (~inceptor-@2001:470:69fc:105::1:298b)
[00:44:10] *** Joins: linjian (~linj@user/linj)
[00:44:10] *** Joins: katco (~katco@2001:470:69fc:105::2b8)
[00:44:10] *** Joins: pjb (~pjb@user/pjb)
[00:44:10] *** Joins: Spawns (~Spawns_Ca@user/spawns-carpeting/x-6969421)
[00:44:10] *** Joins: cage (~cage@dynamic-adsl-84-221-50-16.clienti.tiscali.it)
[00:44:10] *** Joins: sterni (~lukas@user/sterni)
[00:44:10] *** Joins: Patternmaster (~georg@li1192-118.members.linode.com)
[00:44:10] *** Joins: _death (~death@adeht.org)
[00:44:10] *** Joins: okflo (~okflo@lisa.diesenbacher.net)
[00:44:10] *** Joins: dmgk (~dmgk@user/dmgk)
[00:44:10] *** Joins: cognemo_ (~cognemo@cpe-46-164-24-121.dynamic.amis.net)
[00:44:10] *** Joins: ecraven (~ecraven@user/nex)
[00:44:10] *** Joins: BytesAndCoffee (~libera@bytes.coffee)
[00:44:10] *** Joins: Odin- (~odin@cybernetic.anarchism.is)
[00:44:10] *** Joins: spacebat (spacebat@spot.ubermonkey.net)
[00:44:10] *** Joins: pl (sid98063@id-98063.helmsley.irccloud.com)
[00:44:10] *** Joins: derelict (~derelict@user/derelict)
[00:44:10] *** Joins: antoni (~antoni@rozalia.antoszka.pl)
[00:44:10] *** Joins: sirufer (68f46fc7c3@user/sirufer)
[00:44:10] *** Joins: gw1 (g-w1@2600:3c03::f03c:92ff:fe2f:c92f)
[00:44:10] *** Joins: edmrk[m] (~edmrkmatr@2001:470:69fc:105::1:5a63)
[00:44:10] *** Joins: Gnuxie (~gnuxie@user/gnuxie)
[00:44:10] *** Joins: loke[m] (~loke@2001:470:69fc:105::237)
[00:44:10] *** Joins: miique (~miiquemat@2001:470:69fc:105::1:6901)
[00:44:10] *** Joins: resttime (~rest@2604:a880:400:d0::1b48:d001)
[00:44:10] *** Joins: mht-wtf (~mht@2a03:b0c0:3:e0::1e2:c001)
[00:44:10] *** Joins: mmk2410 (~mmk2410@user/mmk2410)
[00:44:10] *** Joins: EdLangley[m] (~edwlanmed@2001:470:69fc:105::7a0b)
[00:44:10] *** Joins: beach (~user@2a01:cb19:150:3400:62f7:c889:3c24:ec89)
[00:44:10] *** Joins: igemnace (~ian@user/igemnace)
[00:44:10] *** Joins: Algernon69 (~Algernon6@2a04:cec0:10f5:7936:a1de:2e7b:487:f6fb)
[00:44:10] *** Joins: ns12 (~ns12@user/ns12)
[00:44:10] *** Joins: hhdave (~hhdave@ip212.ip-193-70-71.eu)
[00:44:10] *** Joins: Fade (fade@outrider.deepsky.com)
[00:44:10] *** Joins: specbot (~specbot@common-lisp.net)
[00:44:10] *** Joins: phadthai (~mmondor@user/phadthai)
[00:44:10] *** Joins: luis (~luis@lisp/luis)
[00:44:10] *** Joins: leo_song (~leo_song@user/leo-song/x-7207016)
[00:44:10] *** Joins: [smlckz] (3329f5a75b@user/smlckz)
[00:44:10] *** Joins: d4ryus (~d4ryus@ppp-188-174-84-16.dynamic.mnet-online.de)
[00:44:10] *** Joins: psf (~pi@206.55.172.18)
[00:44:10] *** Joins: Inline (~Inline@ip-037-201-241-209.um10.pools.vodafone-ip.de)
[00:44:10] *** erbium.libera.chat sets mode: +oo pl luis
[00:44:10] *** Joins: dstein64 (~dstein64@dannyadam.com)
[00:44:10] *** Joins: Oddity (~Oddity@user/oddity)
[00:44:10] *** Joins: rgherdt__ (~rgherdt@2a01:598:d036:698b:4f59:ac7:3ad8:3320)
[00:44:10] *** Joins: jfb4 (~jfb4@178.62.2.68)
[00:44:10] *** Joins: skn (~znc@2001:19f0:5:701:5400:ff:fe7c:4e5c)
[00:44:10] *** Joins: phoe (~phoe@user/phoe)
[00:44:10] *** Joins: pok (~pok@user/pok)
[00:44:10] *** Joins: sgithens (sid10659@id-10659.helmsley.irccloud.com)
[00:44:10] *** Joins: gendl (sid100083@id-100083.hampstead.irccloud.com)
[00:44:10] *** Joins: alanz (sid110616@uxbridge.irccloud.com)
[00:44:10] *** Joins: sukaeto (~sukaeto@sharona.moonpearltech.com)
[00:44:10] *** Joins: fe[nl]ix (~quassel@2a01:4f8:200:2425::adda)
[00:44:10] *** Joins: dim (~dimlibera@2a02:2178:2:4:1658:d0ff:fe49:408c)
[00:44:10] *** Joins: ggoes (~gregf@fsf/staff/ggoes)
[00:44:10] *** Joins: mrcom (~mrcom@99-73-215-70.lightspeed.irvnca.sbcglobal.net)
[00:44:10] *** Joins: xaltsc (~xaltsc@user/xaltsc)
[00:44:10] *** Joins: luis` (~luismboma@2001:470:69fc:105::cc7)
[00:44:10] *** Joins: Mrtn[m] (~mrtn@2001:470:69fc:105::1f44)
[00:44:10] *** Joins: akater[m] (~akatermat@2001:470:69fc:105::ccef)
[00:44:10] *** Joins: yitzi (~yitzi@2001:470:69fc:105::fafd)
[00:44:10] *** Joins: zbrown[m] (~zbrownsys@2001:470:69fc:105::1:4e81)
[00:44:10] *** Joins: prov[m] (~provessor@2001:470:69fc:105::cfb)
[00:44:10] *** Joins: notzmv (~zmv@user/notzmv)
[00:44:10] *** Joins: pranavats (3fba1d1b34@2a00:c70:1:178:170:40:189:1)
[00:44:10] *** Joins: parjanya (~esb@2804:14c:1ad:9351:1402:1741:3531:7449)
[00:44:10] *** Joins: cosimone (~user@2001:b07:ae5:db26:c24a:d20:4d91:1e20)
[00:44:10] *** Joins: fitzsim (~user@69-165-165-189.dsl.teksavvy.com)
[00:44:10] *** Joins: borodust (~irc@user/borodust)
[00:44:10] *** Joins: Kabriel (~Kabriel@user/kabriel)
[00:44:10] *** Joins: edgar-rft (~edgar-rft@HSI-KBW-109-193-249-223.hsi7.kabel-badenwuerttemberg.de)
[00:44:10] *** Joins: saturn2 (~visitant@user/clone-of-saturn/x-1551297)
[00:44:10] *** Joins: zagura (~zagura@user/zagura)
[00:44:10] *** Joins: loke (~loke@junk.nocrew.org)
[00:44:10] *** Joins: hefner (~hefner@user/hefner)
[00:44:10] *** Joins: szkl (uid110435@uxbridge.irccloud.com)
[00:44:10] *** Joins: markasoftware (~quassel@107.161.26.124)
[00:44:10] *** Joins: hisacro (~OBSD@my.displ.nl)
[00:44:10] *** Joins: sander (~sander@user/sander)
[00:44:10] *** Joins: sjl (~sjl@cpe-66-66-5-59.rochester.res.rr.com)
[00:44:10] *** Joins: moon-child (~moon-chil@cardinal.elronnd.net)
[00:44:10] *** Joins: empwilli (~empwilli@faui48e.informatik.uni-erlangen.de)
[00:44:10] *** Joins: phantomics (~phantomic@71-218-126-185.hlrn.qwest.net)
[00:44:10] *** Joins: ski (~ski@remote12.chalmers.se)
[00:44:10] *** Joins: fiddlerwoaroof (~fiddlerwo@user/fiddlerwoaroof)
[00:44:10] *** Joins: micro (~micro@user/micro)
[00:44:10] *** Joins: shka (~herr@109.231.0.226)
[00:44:10] *** erbium.libera.chat sets mode: +o fe[nl]ix
[00:44:10] *** Joins: Lord_of_Life (~Lord@user/lord-of-life/x-2819915)
[00:44:10] *** Joins: m5zs7k (aquares@web10.mydevil.net)
[00:44:10] *** Joins: random-nick (~random-ni@87.116.167.125)
[00:44:10] *** Joins: jcowan (sid325434@ilkley.irccloud.com)
[00:44:10] *** Joins: neominimum (sid537410@user/neominimum)
[00:44:10] *** Joins: pieguy128 (~pieguy128@bras-base-mtrlpq5031w-grc-35-70-24-248-224.dsl.bell.ca)
[00:44:10] *** Joins: morganw (~user@80.225.24.132)
[00:44:10] *** Joins: scymtym (~user@ip-094-114-248-079.um31.pools.vodafone-ip.de)
[00:44:10] *** Joins: aeth (~aeth@user/aeth)
[00:44:10] *** Joins: mon_aaraj (~MonAaraj@user/mon-aaraj/x-4416475)
[00:44:10] *** Joins: raeda (~raeda@72.49.252.109)
[00:44:14] *** Quits: epony (epony@user/epony) (Max SendQ exceeded)
[00:44:32] *** Joins: Dynom (~niels@80-114-12-206.cable.dynamic.v4.ziggo.nl)
[00:44:32] *** Joins: robin (~robin@user/terpri)
[00:44:32] *** Joins: Catie (~user@user/catie)
[00:44:32] *** Joins: NotThatRPG (~NotThatRP@162-219-230-90.fttp.usinternet.com)
[00:44:32] *** Joins: waleee (~waleee@2001:9b0:21d:fc00:398f:b003:b90d:acf4)
[00:44:32] *** Joins: clos-encounters (user@2600:3c00::f03c:92ff:fe19:3350)
[00:44:32] *** Joins: rotateq (~user@p200300e78706a00050f72feb644e2401.dip0.t-ipconnect.de)
[00:44:32] *** Joins: wacki (~wacki@87.122.86.194)
[00:44:32] *** Joins: semz (~semz@user/semz)
[00:44:32] *** Joins: molson (~molson@2001-48F8-704A-123D-0-0-75F-1037-static.midco.net)
[00:44:32] *** Joins: cylb (~cylb@pool-173-76-181-138.bstnma.fios.verizon.net)
[00:44:32] *** Joins: easye (~user@oxi.slack.net)
[00:44:32] *** Joins: Josh_2 (~user@37.25.47.130)
[00:44:32] *** Joins: susam (~susam@user/susam)
[00:44:32] *** Joins: _whitelogger (~whitelogg@uruz.whitequark.org)
[00:44:32] *** Joins: GreaseMonkey (greaser@user/greasemonkey)
[00:44:32] *** Joins: lottaquestions_ (~nick@2607:fa49:5041:a200:c011:d62d:2c14:89f2)
[00:44:32] *** Joins: sveit_ (~sveit@2001:19f0:ac01:247:5400:ff:fe5c:689f)
[00:44:32] *** Joins: splittist (sid17737@id-17737.tinside.irccloud.com)
[00:44:32] *** Joins: gko` (~user@user/gko)
[00:44:32] *** Joins: payphone (dd09ba4109@2604:bf00:561:2000::20b)
[00:44:32] *** Joins: jasom (f3e90f0325@2604:bf00:561:2000::3a6)
[00:44:32] *** Joins: dre (~dre@2001:8003:c932:c301:77c0:cff4:f6dd:6abf)
[00:44:32] *** Joins: etiago (~etiago@user/etiago)
[00:44:32] *** Joins: IUSR (sid348938@id-348938.hampstead.irccloud.com)
[00:44:32] *** Joins: drmeister (sid45147@id-45147.ilkley.irccloud.com)
[00:44:32] *** Joins: |smlckz| (~smlckz@user/smlckz)
[00:44:32] *** Joins: Krystof (~user@81.174.155.115)
[00:44:32] *** Joins: joast (~rick@cpe-98-146-112-4.natnow.res.rr.com)
[00:44:32] *** Joins: lawt (~lawt@2601:200:8101:f140:dea6:32ff:fea1:adf9)
[00:44:32] *** Joins: Equill (~Equill@80.30.200.244)
[00:44:32] *** Joins: White_Flame (~quassel@user/white-flame/x-6930243)
[00:44:32] *** Joins: opcode (~opcode@user/opcode)
[00:44:32] *** Joins: mixfix41 (~homefame@user/mixfix41)
[00:44:32] *** Joins: unyu (~pyon@user/pyon)
[00:44:32] *** Joins: lagash (lagash@lagash.shelltalk.net)
[00:44:32] *** Joins: etimmons (m-fyxyzb@li834-247.members.linode.com)
[00:44:32] *** Joins: mfiano (~mfiano@li1282-157.members.linode.com)
[00:44:32] *** Joins: brown121407 (1fd27a54a7@gnu/webmaster/smarton)
[00:44:32] *** Joins: mcoll (1cd8fbb055@2604:bf00:561:2000::160)
[00:44:32] *** Joins: sm2n (ae95cb1267@user/sm2n)
[00:44:32] *** Joins: axvr (757f658d76@2604:bf00:561:2000::e1)
[00:44:32] *** Joins: theothornhill (4948e39ef8@2604:bf00:561:2000::40)
[00:44:32] *** Joins: srhm (dda3db84b5@user/srhm)
[00:44:32] *** Joins: krjst (~krjst@2604:a880:800:c1::16b:8001)
[00:44:32] *** Joins: thonkpod (~thonkpod@user/thonkpod)
[00:44:32] *** Joins: iisi (sid19824@id-19824.hampstead.irccloud.com)
[00:44:32] *** Joins: light (~light@user/light)
[00:44:32] *** Joins: lucerne (~lucerne@ip202.ip-51-178-215.eu)
[00:44:32] *** Joins: lewisje (~lewisje@72.49.207.113)
[00:44:32] *** Joins: MetaYan (~MetaYan@c-7b5d235c.07-84-7462671.bbcust.telenor.se)
[00:44:32] *** Joins: ogamita`` (~t@hubble.informatimago.com)
[00:44:32] *** Joins: cpape`` (~user@2a01:4f9:c010:632d::1)
[00:44:32] *** Joins: hirez (~hirez@104.128.237.40)
[00:44:32] *** Joins: jsatk__ (sid304796@id-304796.helmsley.irccloud.com)
[00:44:32] *** Joins: flip214 (~marek@user/flip214)
[00:44:37] *** Quits: miique (~miiquemat@2001:470:69fc:105::1:6901) (Ping timeout: 240 seconds)
[00:44:40] *** Quits: mixfix41 (~homefame@user/mixfix41) (Max SendQ exceeded)
[00:44:49] *** Joins: jealousmonk (~user@user/jealousmonk)
[00:44:49] *** Joins: Rue (~rue@2001-b011-1000-1c39-cdcc-c9c1-11c3-6370.dynamic-ip6.hinet.net)
[00:44:49] *** Joins: silasfox (~sbv@p200300cec714f800caf8c79c6d0f1c51.dip0.t-ipconnect.de)
[00:44:49] *** Joins: qhong (~qhong@rescomp-21-400677.stanford.edu)
[00:44:49] *** Joins: jgart (16dd2205e4@irc.cheogram.com)
[00:44:49] *** Joins: Arcsech (~arcsechma@2001:470:69fc:105::1:797)
[00:44:49] *** Joins: opalvaults[m] (~opalvault@2001:470:69fc:105::1:51f6)
[00:44:49] *** Joins: dieggsy (~dieggsy@2001:470:69fc:105::91f)
[00:44:49] *** Joins: Jach (~Jach@2601:600:8600:307:7e31:e7a7:f1f3:a96b)
[00:44:49] *** Joins: spec (~spec@user/spec)
[00:44:49] *** Joins: thomaslewis (6e04fe5c02@mail.nobodyhasthe.biz)
[00:44:49] *** Joins: selwyn (~selwyn@user/selwyn)
[00:44:49] *** Joins: energizer (~energizer@user/energizer)
[00:44:49] *** Joins: iquites (sid77830@id-77830.lymington.irccloud.com)
[00:44:49] *** Joins: zephyr (~alandiper@ec2-34-230-252-114.compute-1.amazonaws.com)
[00:44:49] *** Joins: griffinmb (sid410590@id-410590.helmsley.irccloud.com)
[00:44:56] *** Quits: opalvaults[m] (~opalvault@2001:470:69fc:105::1:51f6) (Ping timeout: 245 seconds)
[00:45:01] *** Joins: wyrd (~wyrd@gateway/tor-sasl/wyrd)
[00:45:01] *** Joins: azimut (~azimut@gateway/tor-sasl/azimut)
[00:45:01] *** Joins: anticomputer (~anticompu@gateway/tor-sasl/anticomputer)
[00:45:01] *** Joins: gxt (~gxt@gateway/tor-sasl/gxt)
[00:45:01] *** Quits: zbrown[m] (~zbrownsys@2001:470:69fc:105::1:4e81) (Ping timeout: 250 seconds)
[00:45:01] *** Joins: bldr (~bull@185.117.72.168)
[00:45:01] *** Joins: nckx (~nckx@tobias.gr)
[00:45:01] *** Joins: rdrg109 (~rdrg109@user/rdrg109)
[00:45:02] *** Quits: Gnuxie (~gnuxie@user/gnuxie) (Ping timeout: 240 seconds)
[00:45:02] *** Joins: yottabyte (uid195082@id-195082.lymington.irccloud.com)
[00:45:02] *** Joins: stylewarning (sid241636@id-241636.helmsley.irccloud.com)
[00:45:02] *** Quits: sp (~sp@user/susam) (Ping timeout: 240 seconds)
[00:45:02] *** Quits: sepanko (~sepanko@user/sepanko) (Ping timeout: 240 seconds)
[00:45:02] *** Quits: char[m] (~charlesma@2001:470:69fc:105::1:7050) (Ping timeout: 240 seconds)
[00:45:08] *** Quits: rdrg109 (~rdrg109@user/rdrg109) (Max SendQ exceeded)
[00:45:13] *** Joins: epony (epony@lz2.eu)
[00:45:17] *** Joins: saltrocklamp[m] (~hexology@user/hexology)
[00:45:17] *** Joins: remexre (~remexre@user/remexre)
[00:45:17] *** Joins: luna-is-here (~quassel@2a02:908:f761:2a3c::a)
[00:45:17] *** Joins: iamFIREc1 (~iamFIREcr@user/iamfirecracker)
[00:45:17] *** Joins: victor__ (sid208353@id-208353.tinside.irccloud.com)
[00:45:17] *** Joins: conjunctive (sid433686@id-433686.helmsley.irccloud.com)
[00:45:17] *** Joins: dale (~dale@user/dale)
[00:45:17] *** Joins: mzan (~quassel@mail.asterisell.com)
[00:45:17] *** Joins: terrorjack (~terrorjac@2a01:4f8:1c1e:509a::1)
[00:45:17] *** Joins: SAL9000 (~SAL9000@shirakumo/sal9000)
[00:45:17] *** Joins: form_feed (~form_feed@user/f/x-7101985)
[00:45:17] *** Joins: Xach (~xach@user/xach)
[00:45:17] *** Joins: xsperry (~xs@user/xsperry)
[00:45:17] *** Joins: perro_ (~perro@072-191-245-069.res.spectrum.com)
[00:45:17] *** Joins: skeemer (~skeemer@h-158-174-23-219.NA.cust.bahnhof.se)
[00:45:17] *** Joins: djuber (~user@65.79.128.64)
[00:45:17] *** Joins: wmblathers (~wmblather@162-199-148-123.lightspeed.mdsnwi.sbcglobal.net)
[00:45:17] *** Joins: minion (~minion@common-lisp.net)
[00:45:17] *** Joins: brettgilio (~brettgili@x-node.gq)
[00:45:17] *** Joins: jaimelm (~jaimelm@deneb.emergentcommunitysystems.com)
[00:45:17] *** Joins: theBlackDragon (~dragon@fvwm/admin)
[00:45:17] *** Joins: samebchase (~samebchas@51.15.68.182)
[00:45:17] *** Joins: madnificent (~madnifice@static.210.74.63.178.clients.your-server.de)
[00:45:17] *** erbium.libera.chat sets mode: +o Xach
[00:45:19] *** Quits: saltrocklamp[m] (~hexology@user/hexology) (Ping timeout: 245 seconds)
[00:45:21] *** Quits: Arcsech (~arcsechma@2001:470:69fc:105::1:797) (Ping timeout: 245 seconds)
[00:45:21] *** Quits: dieggsy (~dieggsy@2001:470:69fc:105::91f) (Ping timeout: 245 seconds)
[00:45:25] *** Quits: edmrk[m] (~edmrkmatr@2001:470:69fc:105::1:5a63) (Ping timeout: 240 seconds)
[00:45:25] *** Quits: loke[m] (~loke@2001:470:69fc:105::237) (Ping timeout: 240 seconds)
[00:45:25] *** Quits: prov[m] (~provessor@2001:470:69fc:105::cfb) (Ping timeout: 250 seconds)
[00:45:25] *** Quits: luis` (~luismboma@2001:470:69fc:105::cc7) (Ping timeout: 250 seconds)
[00:45:25] *** Quits: yitzi (~yitzi@2001:470:69fc:105::fafd) (Ping timeout: 250 seconds)
[00:45:25] *** Quits: Mrtn[m] (~mrtn@2001:470:69fc:105::1f44) (Ping timeout: 250 seconds)
[00:45:25] *** Quits: akater[m] (~akatermat@2001:470:69fc:105::ccef) (Ping timeout: 250 seconds)
[00:45:32] *** Quits: kakuhen (~kakuhen@user/kakuhen) (Ping timeout: 240 seconds)
[00:45:38] *** Quits: linjian (~linj@user/linj) (Ping timeout: 260 seconds)
[00:45:38] *** Quits: Duuqnd (~duuqnd@2001:470:69fc:105::e9c0) (Ping timeout: 260 seconds)
[00:45:38] *** Quits: katco (~katco@2001:470:69fc:105::2b8) (Ping timeout: 260 seconds)
[00:45:38] *** Quits: nworb (~zbrownm]@2001:470:69fc:105::1:33db) (Ping timeout: 260 seconds)
[00:45:38] *** Quits: seragold[m] (~seragoldm@2001:470:69fc:105::1:6b7f) (Ping timeout: 260 seconds)
[00:45:38] *** Quits: Spawns_Carpet[m] (~inceptor-@2001:470:69fc:105::1:298b) (Ping timeout: 260 seconds)
[00:45:41] *** Quits: EdLangley[m] (~edwlanmed@2001:470:69fc:105::7a0b) (Ping timeout: 252 seconds)
[00:46:06] *** Quits: CodeBitCookie[m] (~code-bit-@2001:470:69fc:105::a2f) (Ping timeout: 260 seconds)
[00:46:15] *** Quits: szkl (uid110435@uxbridge.irccloud.com) (Client Quit)
[00:47:44] *** Joins: szkl (uid110435@uxbridge.irccloud.com)
[00:47:52] *** Joins: Guest74 (~Guest74@modemcable110.164-177-173.mc.videotron.ca)
[00:48:19] *** Quits: mon_aaraj (~MonAaraj@user/mon-aaraj/x-4416475) (Ping timeout: 256 seconds)
[00:50:13] *** Joins: mon_aaraj (~MonAaraj@149.255.212.24)
[00:50:49] *** Joins: karlosz (~karlosz@47.151.136.69)
[00:50:57] *** Quits: morganw (~user@80.225.24.132) (Remote host closed the connection)
[00:51:52] *** Joins: jesopo (~jess@libera/staff/jess)
[00:52:25] *** jesopo is now known as jess
[00:53:33] *** Quits: szkl (uid110435@uxbridge.irccloud.com) ()
[00:55:13] *** Quits: Dynom (~niels@80-114-12-206.cable.dynamic.v4.ziggo.nl) (Quit: WeeChat 3.4)
[00:58:45] *** Quits: pve (~pve@178-55-110-170.bb.dnainternet.fi) (Quit: leaving)
[01:01:25] *** Quits: wacki (~wacki@87.122.86.194) (Quit: Leaving.)
[01:01:30] *** Quits: jess (~jess@libera/staff/jess) (Changing host)
[01:01:30] *** Joins: jess (~jess@libera/staff/cat/jess)
[01:01:31] *** Joins: ChanServ (ChanServ@services.libera.chat)
[01:01:31] *** erbium.libera.chat sets mode: +o ChanServ
[01:01:49] *** epony is now known as Guest3959
[01:02:03] *** Joins: sepanko (~sepanko@user/sepanko)
[01:02:48] *** Joins: kakuhen (~kakuhen@user/kakuhen)
[01:03:14] *** Joins: Noisytoot (~noisytoot@sourcehut/user/noisytoot)
[01:06:02] *** Joins: rdrg109 (~rdrg109@user/rdrg109)
[01:09:08] *** Joins: triffid (~triffid@gateway/tor-sasl/triffid)
[01:13:05] *** Quits: karlosz (~karlosz@47.151.136.69) (Quit: karlosz)
[01:16:12] <dbotton> I worked up a written tutorial for the builder. https://docs.google.com/document/d/149DUQqdmV8OL8C22l_WHRxxgWbkrEIzcmwkvqltOU2w/edit?usp=sharing
[01:16:24] <dbotton> Always open to comments
[01:17:55] *** Quits: cosimone (~user@2001:b07:ae5:db26:c24a:d20:4d91:1e20) (Ping timeout: 250 seconds)
[01:19:10] *** Joins: jeosol (~jeosol@user/jeosol)
[01:19:41] *** Joins: sp (~sp@user/susam)
[01:20:19] *** Joins: makomo (~makomo@user/makomo)
[01:20:44] <wmblathers> A tutorial! That's great.
[01:21:31] *** Joins: tyson2 (~user@bras-base-toroon0624w-grc-17-50-101-91-98.dsl.bell.ca)
[01:22:42] <phoe> congrats :D
[01:23:37] *** Joins: prov[m] (~provessor@2001:470:69fc:105::cfb)
[01:23:46] *** Joins: EdLangley[m] (~edwlanmed@2001:470:69fc:105::7a0b)
[01:25:05] *** Quits: cage (~cage@dynamic-adsl-84-221-50-16.clienti.tiscali.it) (Quit: rcirc on GNU Emacs 27.1)
[01:28:29] *** Joins: miique (~miiquemat@2001:470:69fc:105::1:6901)
[01:30:35] *** Joins: gaqwas (~john@dynamic-095-118-123-231.95.118.pool.telefonica.de)
[01:32:13] <dbotton> I have 10 or so planned
[01:32:32] <dbotton> I will likely do written and a video
[01:33:44] <dbotton> There is just so much you can do with CLOG and the Builder that it is hard to understand with out some examples
[01:33:59] <dbotton> and explanations
[01:34:17] *** Quits: rgherdt__ (~rgherdt@2a01:598:d036:698b:4f59:ac7:3ad8:3320) (Ping timeout: 240 seconds)
[01:34:29] *** Joins: zbrown[m] (~zbrownsys@2001:470:69fc:105::1:4e81)
[01:36:42] *** Joins: rgherdt (~rgherdt@2a01:598:b1b2:f0d:4e46:754d:1f4e:6c59)
[01:39:53] *** Joins: rgherdt_ (~rgherdt@tmo-085-242.customers.d1-online.com)
[01:42:05] *** Joins: akater[m] (~akatermat@2001:470:69fc:105::ccef)
[01:42:06] *** Joins: luis` (~luismboma@2001:470:69fc:105::cc7)
[01:42:17] *** Quits: rgherdt (~rgherdt@2a01:598:b1b2:f0d:4e46:754d:1f4e:6c59) (Ping timeout: 240 seconds)
[01:43:33] *** Joins: Mrtn[m] (~mrtn@2001:470:69fc:105::1f44)
[01:43:34] *** Joins: dieggsy (~dieggsy@2001:470:69fc:105::91f)
[01:43:51] *** Joins: nworb (~zbrownm]@2001:470:69fc:105::1:33db)
[01:44:08] *** Joins: Spawns_Carpet[m] (~inceptor-@2001:470:69fc:105::1:298b)
[01:44:11] *** Joins: linjian (~linj@user/linj)
[01:44:30] *** Joins: yitzi (~yitzi@2001:470:69fc:105::fafd)
[01:44:49] *** Joins: loke[m] (~loke@2001:470:69fc:105::237)
[01:44:52] *** Quits: dilated_dinosaur (~dino@cpc1-bexl9-2-0-cust231.2-3.cable.virginm.net) (Ping timeout: 256 seconds)
[01:44:54] *** Quits: jess (~jess@libera/staff/cat/jess) ()
[01:44:59] *** Joins: katco (~katco@2001:470:69fc:105::2b8)
[01:45:04] *** Joins: edmrk[m] (~edmrkmatr@2001:470:69fc:105::1:5a63)
[01:45:33] *** Joins: CodeBitCookie[m] (~code-bit-@2001:470:69fc:105::a2f)
[01:47:39] *** Joins: rgherdt__ (~rgherdt@2a01:598:d03c:ef11:9e18:72c6:4634:55ef)
[01:48:12] *** Joins: dilated_dinosaur (~dino@cpc1-bexl9-2-0-cust231.2-3.cable.virginm.net)
[01:48:48] *** Joins: Oladon (~olad@98.43.81.226)
[01:48:58] *** Joins: akoana (~ah@user/akoana)
[01:49:06] *** Quits: mrcom (~mrcom@99-73-215-70.lightspeed.irvnca.sbcglobal.net) (Quit: This computer has gone to sleep)
[01:49:20] *** Joins: opalvaults[m] (~opalvault@2001:470:69fc:105::1:51f6)
[01:50:17] *** Quits: rgherdt_ (~rgherdt@tmo-085-242.customers.d1-online.com) (Ping timeout: 240 seconds)
[01:50:54] *** Joins: rgherdt_ (~rgherdt@2a01:598:b1af:b926:5f9f:a4b1:97d1:4aea)
[01:52:37] *** Quits: rgherdt__ (~rgherdt@2a01:598:d03c:ef11:9e18:72c6:4634:55ef) (Ping timeout: 240 seconds)
[01:53:56] *** Joins: rgherdt__ (~rgherdt@2a01:598:b1a9:b031:f985:fb0b:1e5a:81f3)
