[00:05:20] *** Joins: ssiyad (~ssiyad@user/ssiyad)
[00:12:21] *** Quits: th3voic3 (th3voic3@user/th3voic3) (Quit: ZNC 1.8.2 - https://znc.in)
[00:12:33] *** Joins: th3voic3 (th3voic3@user/th3voic3)
[00:21:17] *** Joins: ff0x_ (~f0xy@gateway/tor-sasl/ff0x)
[00:21:42] *** Quits: ff0x (~f0xy@gateway/tor-sasl/ff0x) (Ping timeout: 276 seconds)
[00:21:42] *** ff0x_ is now known as ff0x
[00:30:06] *** Quits: blaub (~blaub@194-208-201-025.tele.net) (Quit: WeeChat 3.4)
[00:44:56] *** Quits: jcromero[m] (~jcromero@2001:470:69fc:105::68b0) (Ping timeout: 245 seconds)
[00:44:56] *** Quits: fly[m] (~flyasragr@2001:470:69fc:105::301c) (Ping timeout: 245 seconds)
[00:44:56] *** Quits: lpv[m] (~lpv@2001:470:69fc:105::1:2305) (Ping timeout: 245 seconds)
[00:44:56] *** Quits: cnmne[m] (~cnmnematr@2001:470:69fc:105::1:1c1f) (Ping timeout: 245 seconds)
[00:44:56] *** Quits: tinywrkb (~tinywrkb@2001:470:69fc:105::771) (Ping timeout: 245 seconds)
[00:44:56] *** Quits: calciumdeficient (~anukulmoz@2001:470:69fc:105::ba0f) (Ping timeout: 245 seconds)
[00:44:56] *** Quits: gxldstein[m] (~gxldstein@2001:470:69fc:105::2dfd) (Ping timeout: 245 seconds)
[00:45:01] *** Joins: ff0x (~f0xy@gateway/tor-sasl/ff0x)
[00:45:01] *** Joins: jnphilipp (~jnphilipp@gateway/tor-sasl/jnphilipp)
[00:45:01] *** Joins: mys (~mys@gateway/tor-sasl/mys)
[00:45:01] *** Joins: mornfall (~mornfall@user/mornfall)
[00:45:01] *** Joins: nyctea (~weechat@user/ninewise)
[00:45:01] *** Joins: mord0d (~mord0d@gateway/tor-sasl/mord0d)
[00:45:01] *** Quits: philipp[m] (~philippxn@2001:470:69fc:105::dee) (Ping timeout: 250 seconds)
[00:45:01] *** Quits: blackbeard (~barbanegr@2001:470:69fc:105::38c4) (Ping timeout: 250 seconds)
[00:45:01] *** Quits: PolGZ[m] (~polgzmatr@2001:470:69fc:105::1:5509) (Ping timeout: 250 seconds)
[00:45:01] *** Quits: ura43[m] (~ura43halo@2001:470:69fc:105::1:5177) (Ping timeout: 250 seconds)
[00:45:01] *** Joins: ccx (~ccx@82.142.125.46)
[00:45:02] *** Quits: AAGaming (~aagaming@2001:470:69fc:105::d2a9) (Ping timeout: 240 seconds)
[00:45:02] *** Quits: Helios (~dwaglemat@2001:470:69fc:105::5f8) (Ping timeout: 240 seconds)
[00:45:02] *** Quits: harish3124[m] (~harish312@2001:470:69fc:105::1:877f) (Ping timeout: 240 seconds)
[00:45:02] *** Quits: evidlo (~evidlo@2001:470:69fc:105::7fc) (Ping timeout: 240 seconds)
[00:45:02] *** Quits: rnhmjoj (~rnhmjoj@2001:470:69fc:105::3452) (Ping timeout: 240 seconds)
[00:45:02] *** Quits: systeem[m] (~systeemch@2001:470:69fc:105::6263) (Ping timeout: 240 seconds)
[00:45:08] *** Quits: natris1979[m] (~natris197@2001:470:69fc:105::1:350d) (Ping timeout: 252 seconds)
[00:45:10] *** Quits: hamblingreen[m] (~hamblingr@2001:470:69fc:105::efdd) (Ping timeout: 260 seconds)
[00:45:11] *** Quits: Guest5748 (~pedromjma@2001:470:69fc:105::895) (Ping timeout: 260 seconds)
[00:45:17] *** Joins: tiosgz` (~tiosgz@2001:470:69fc:105::e5ff)
[00:45:17] *** Joins: glacambre[m] (~glacambre@2001:470:69fc:105::1f5)
[00:45:17] *** Joins: ecs (~ecs@user/ecs)
[00:45:17] *** Joins: Earnestly (~earnest@user/earnestly)
[00:45:17] *** Joins: XeR (~xer@xer.fr)
[00:45:17] *** Joins: krobelus (~johannes@88.198.188.18)
[00:45:17] *** Joins: lmi (~mama@user/filko)
[00:45:17] *** Joins: anunna (~lahmu@aruru.lilitusec.net)
[00:45:17] *** Joins: crater2160 (~crater215@qwertyuiop.de)
[00:45:17] *** Joins: toofar (~tuwtle@user/toofar)
[00:45:17] *** Joins: alscx (~alscx@user/alscx)
[00:45:17] *** Joins: gardouille (~gardouill@ks10.101010.fr)
[00:45:17] *** Joins: llyyr (~llyyr@51.159.35.138)
[00:45:17] *** Joins: gknux (~gknux@user/galaxy-knuckles/x-3015990)
[00:45:17] *** Joins: dummys_ (~dummys@gaia.fapperz.org)
[00:45:18] *** Quits: glacambre[m] (~glacambre@2001:470:69fc:105::1f5) (Ping timeout: 245 seconds)
[00:45:18] *** Quits: tiosgz` (~tiosgz@2001:470:69fc:105::e5ff) (Ping timeout: 245 seconds)
[00:45:21] *** Quits: marcdeop[m] (~marcdeopm@2001:470:69fc:105::573) (Ping timeout: 245 seconds)
[00:45:25] *** Quits: JohannesWegener[ (~hpfmnmatr@2001:470:69fc:105::1:24fc) (Ping timeout: 250 seconds)
[00:45:25] *** Quits: Notkea (~pacien@2001:470:69fc:105::f12) (Ping timeout: 250 seconds)
[00:45:40] *** Joins: konubinix (~konubinix@131-199-28-81.ftth.cust.kwaoo.net)
[00:45:41] *** Quits: chvp (~chvp@2001:470:69fc:105::d9) (Ping timeout: 252 seconds)
[00:45:46] *** Quits: jomat (~jomat@2001:470:69fc:105::21) (Ping timeout: 245 seconds)
[00:45:51] *** Quits: famubu[m] (~famubumat@2001:470:69fc:105::1081) (Ping timeout: 250 seconds)
[00:46:06] *** Quits: moats (~oats@user/oats) (Ping timeout: 260 seconds)
[00:47:11] *** Quits: elastic_dog (~elastic_d@2a01:118f:822:9c00:f583:aa51:9ad4:d4fb) (Read error: Connection reset by peer)
[00:47:41] *** Joins: elastic_dog (~elastic_d@2a01:118f:822:9c00:f583:aa51:9ad4:d4fb)
[00:47:49] *** Quits: itok (sid418430@id-418430.ilkley.irccloud.com) (Ping timeout: 240 seconds)
[00:50:34] *** Joins: itok (sid418430@ilkley.irccloud.com)
[00:59:14] *** Joins: Helios (~dwaglemat@2001:470:69fc:105::5f8)
[00:59:52] *** Joins: harish3124[m] (~harish312@2001:470:69fc:105::1:877f)
[00:59:53] *** Joins: AAGaming (~aagaming@2001:470:69fc:105::d2a9)
[01:01:33] *** Joins: shadow53 (~shadow53m@2001:470:69fc:105::1:258a)
[01:01:35] *** Joins: fly[m] (~flyasragr@2001:470:69fc:105::301c)
[01:01:38] *** Joins: calciumdeficient (~anukulmoz@2001:470:69fc:105::ba0f)
[01:01:58] *** Joins: th3voic3 (~th3voic3@user/th3voic3)
[01:01:58] *** Joins: jcromero[m] (~jcromero@2001:470:69fc:105::68b0)
[01:02:12] *** Joins: califax (~califax@user/califx)
[01:25:16] *** Joins: Notkea (~pacien@2001:470:69fc:105::f12)
[01:26:23] <birkoff> is it possible to change the default color/shape of tab indicators  ?
[01:30:58] *** Joins: M9d0cd7d2[m] (~M9d0cd7d2@2001:470:69fc:105::1:1609)
[01:33:28] <The-Compiler> birkoff: color and size IIRC, can't checm right now, but you might want to look at the :set indicator completion
[01:34:42] *** Joins: blackbeard (~barbanegr@2001:470:69fc:105::38c4)
[01:35:01] *** Joins: tinywrkb (~tinywrkb@2001:470:69fc:105::771)
[01:35:11] *** Joins: evidlo (~evidlo@2001:470:69fc:105::7fc)
[01:37:40] <birkoff> already did The-Compiler 
[01:37:56] <birkoff> can the fonts of devtools be increased/changed altogether?
[01:38:49] <The-Compiler> Ctrl-Mousewheel I think, with a new enough Qt/qutebrowser at least
[01:39:08] <birkoff> O_o
[01:39:10] <birkoff> not working for me
[01:39:31] <birkoff> on qutebrowser v2.4.0 Qt: 5.15.2
[01:39:39] <birkoff> isn't that pretty new?
[01:39:44] <The-Compiler> It is
[01:39:56] <birkoff> ctrl++/- works though
[01:41:47] <birkoff> JS forEach is not implemented yet? :/
[01:42:17] *** Joins: chvp (~chvp@2001:470:69fc:105::d9)
[01:42:47] <birkoff> in devtools, the dock & save archive toolbar buttons do not seemt o do muchh
[01:43:14] <birkoff> also modern browser css is rendered badly
[01:44:56] *** Joins: kuhilas (~kuhilas@2001:470:69fc:105::3040)
[01:45:38] *** Joins: famubu[m] (~famubumat@2001:470:69fc:105::1081)
[01:45:56] *** Joins: moats (~oats@user/oats)
[01:47:11] *** Quits: keir_ (~keir@user/keir) (Quit: I've gone)
[01:49:46] *** Joins: lpv[m] (~lpv@2001:470:69fc:105::1:2305)
[01:52:17] *** Joins: tiosgz` (~tiosgz@2001:470:69fc:105::e5ff)
[01:56:40] *** Joins: jomat (~jomat@2001:470:69fc:105::21)
[01:57:54] *** Joins: keir (~keir@user/keir)
[01:59:10] *** Quits: guido (~weechat@host-82-59-230-189.retail.telecomitalia.it) (Quit: WeeChat 3.4)
[02:06:14] *** Joins: philipp[m] (~philippxn@2001:470:69fc:105::dee)
[02:08:12] *** Joins: gxldstein[m] (~gxldstein@2001:470:69fc:105::2dfd)
[02:08:20] *** Joins: cnmne[m] (~cnmnematr@2001:470:69fc:105::1:1c1f)
[02:08:41] *** Joins: natris1979[m] (~natris197@2001:470:69fc:105::1:350d)
[02:12:59] *** Joins: ura43[m] (~ura43halo@2001:470:69fc:105::1:5177)
[02:12:59] *** Joins: PolGZ[m] (~polgzmatr@2001:470:69fc:105::1:5509)
[02:13:01] *** Joins: rnhmjoj (~rnhmjoj@2001:470:69fc:105::3452)
[02:16:45] *** Joins: JohannesWegener[ (~hpfmnmatr@2001:470:69fc:105::1:24fc)
[02:16:47] *** Joins: marcdeop[m] (~marcdeopm@2001:470:69fc:105::573)
[02:18:59] *** Joins: systeem[m] (~systeemch@2001:470:69fc:105::6263)
[02:20:45] *** Joins: Guest5748 (~pedromjma@2001:470:69fc:105::895)
[02:20:45] *** Joins: hamblingreen[m] (~hamblingr@2001:470:69fc:105::efdd)
[02:24:51] *** Joins: glacambre[m] (~glacambre@2001:470:69fc:105::1f5)
[02:30:18] *** Quits: keir (~keir@user/keir) (Quit: I've gone)
[02:31:25] *** Joins: keir (~keir@user/keir)
[02:37:15] *** Quits: jnphilipp (~jnphilipp@gateway/tor-sasl/jnphilipp) (Quit: Leaving)
[02:53:59] *** Joins: pas12_ (~quassel@tmo-111-208.customers.d1-online.com)
[02:57:35] *** Quits: pas12 (~quassel@tmo-110-208.customers.d1-online.com) (Ping timeout: 250 seconds)
[03:14:25] *** Joins: gast0n (~g4570n@user/gast0n)
[03:15:50] *** Quits: Haudegen (~quassel@178.115.237.87.static.drei.at) (Ping timeout: 252 seconds)
[03:22:17] *** Quits: gast0n (~g4570n@user/gast0n) (Ping timeout: 240 seconds)
[03:40:55] *** Quits: mbrgm (~weechat@user/mbrgm) (Ping timeout: 250 seconds)
[03:50:20] *** Quits: AAGaming (~aagaming@2001:470:69fc:105::d2a9) (Quit: Reconnecting)
[03:50:34] *** Joins: AAGaming (~aagaming@2001:470:69fc:105::d2a9)
[03:51:07] *** Quits: AAGaming (~aagaming@2001:470:69fc:105::d2a9) (Client Quit)
[03:51:21] *** Joins: AAGaming (~aagaming@2001:470:69fc:105::d2a9)
[03:54:21] *** Joins: mbrgm (~weechat@user/mbrgm)
[04:06:44] *** Quits: ktprograms (~ktprogram@14.192.221.217) (Quit: Bye!)
[04:07:08] *** Joins: ktprograms (~ktprogram@14.192.221.217)
[04:20:35] *** Quits: alpha_Aquilae (~ircII@user/alpha-aquilae/x-1057823) (Quit: client irssi quit)
[05:51:14] *** Joins: califax- (~califax@user/califx)
[05:53:51] *** Quits: califax (~califax@user/califx) (Ping timeout: 276 seconds)
[05:53:51] *** califax- is now known as califax
[05:54:03] *** Joins: brabrax_ (~brabrax@user/brabrax)
[05:55:04] *** Quits: brabrax (~brabrax@user/brabrax) (Ping timeout: 250 seconds)
[05:55:04] *** brabrax_ is now known as brabrax
[06:56:01] *** Quits: lamarpavel (~Lamar@ipbcc0ea64.dynamic.kabel-deutschland.de) (Quit: WeeChat 3.4)
[06:56:21] *** Joins: lamarpavel (~Lamar@ipbcc0ea64.dynamic.kabel-deutschland.de)
[07:00:41] *** Quits: ktprograms (~ktprogram@14.192.221.217) (Quit: Lost terminal)
[07:02:33] *** Joins: ktprograms (~ktprogram@14.192.221.217)
[07:58:34] *** Quits: arkurious (~arkurious@user/arkurious) (Quit: Leaving)
[08:08:59] *** Joins: anginapectoris1 (~anginapec@user/anginapectoris)
[08:11:08] *** Quits: anginapectoris (~anginapec@user/anginapectoris) (Ping timeout: 250 seconds)
[08:11:08] *** anginapectoris1 is now known as anginapectoris
[08:19:59] *** Joins: chrisb (~chrisb@user/chrisb)
[08:26:57] *** Joins: Haudegen (~quassel@178.115.237.87.static.drei.at)
[10:08:57] *** Joins: rememberYou (~someone@user/rememberyou)
[10:30:53] *** Joins: guido (~weechat@host-95-235-251-51.retail.telecomitalia.it)
[10:32:17] *** Quits: guido (~weechat@host-95-235-251-51.retail.telecomitalia.it) (Client Quit)
[10:32:27] *** Joins: guido (~weechat@host-95-235-251-51.retail.telecomitalia.it)
[10:46:47] *** Joins: jnphilipp (~jnphilipp@gateway/tor-sasl/jnphilipp)
[10:47:32] *** Quits: guido (~weechat@host-95-235-251-51.retail.telecomitalia.it) (Quit: WeeChat 3.4)
[10:55:52] *** Quits: iggy (~iggy@23-114-170-204.lightspeed.irvnca.sbcglobal.net) (*.net *.split)
[10:55:52] *** Quits: dsv (~dsv@dver.se) (*.net *.split)
[10:55:52] *** Quits: ml (~ml@visu.li) (*.net *.split)
[10:55:52] *** Quits: futune (~futune@95.82.134.233) (*.net *.split)
[10:55:52] *** Quits: reset (~reset@user/reset) (*.net *.split)
[10:55:52] *** Quits: ThinkT510 (~auronanda@user/thinkt510) (*.net *.split)
[10:55:52] *** Quits: baiguai (~baiguai@c-73-181-176-71.hsd1.wa.comcast.net) (*.net *.split)
[10:55:52] *** Quits: pbnoxious (~pbnoxious@free.blinkenshell.org) (*.net *.split)
[10:55:52] *** Quits: hvxgr (~wl2v_usrn@epjdn.zq3q.org) (*.net *.split)
[10:55:52] *** Quits: pylbrecht_ (~pylbrecht@5.189.144.194) (*.net *.split)
[10:55:52] *** Quits: cnsvc- (~cnsvc@li541-179.members.linode.com) (*.net *.split)
[10:55:52] *** Quits: avakand (~avakand@static.164.226.201.195.clients.your-server.de) (*.net *.split)
[10:58:02] *** Joins: iggy (~iggy@23-114-170-204.lightspeed.irvnca.sbcglobal.net)
[10:58:02] *** Joins: dsv (~dsv@dver.se)
[10:58:02] *** Joins: ml (~ml@visu.li)
[10:58:02] *** Joins: futune (~futune@95.82.134.233)
[10:58:02] *** Joins: reset (~reset@user/reset)
[10:58:02] *** Joins: ThinkT510 (~auronanda@user/thinkt510)
[10:58:02] *** Joins: baiguai (~baiguai@c-73-181-176-71.hsd1.wa.comcast.net)
[10:58:02] *** Joins: pbnoxious (~pbnoxious@free.blinkenshell.org)
[10:58:02] *** Joins: pylbrecht_ (~pylbrecht@5.189.144.194)
[10:58:02] *** Joins: hvxgr (~wl2v_usrn@epjdn.zq3q.org)
[10:58:02] *** Joins: cnsvc- (~cnsvc@li541-179.members.linode.com)
[10:58:02] *** Joins: avakand (~avakand@static.164.226.201.195.clients.your-server.de)
[11:03:25] *** Joins: jnp (~jnphilipp@gateway/tor-sasl/jnphilipp)
[11:05:01] *** Quits: jnphilipp (~jnphilipp@gateway/tor-sasl/jnphilipp) (Remote host closed the connection)
[11:14:33] *** Joins: guido (~weechat@2001:b07:6455:ac4f:3641:5dff:fe55:2a8f)
[11:15:21] *** Quits: rememberYou (~someone@user/rememberyou) (Remote host closed the connection)
[11:22:01] *** Joins: alpha_Aquilae (~ircII@user/alpha-aquilae/x-1057823)
[12:29:13] *** Joins: jenkins (~jenkins@user/jenkins)
[12:50:08] <The-Compiler> birkoff: what QtWebEngine and qutebrowser version are you using (see :version)? Also, what do you mean with "JS forEach is not implemented yet?" precisely?
[12:51:22] <The-Compiler> birkoff: also not sure what toolbar buttons you mean exactly, but all of those things sound more related to QtWebEngine than qutebrowser
[14:00:33] <Dieterbe> o
[14:00:43] <Dieterbe> oops, sorry. new keyboard
[14:18:27] <The-Compiler> Dieterbe: know that feeling, after having switched to ErgoMech keyboards recently (Keyboardio Model 01 and Atreus) - anything of those sorts too?
[14:20:12] <Dieterbe> i bought the ZSA moonlander. it allows to use any key as mod key. so the keys on my home row (aoeu and htns), when i hold them more then 200ms, they turn into ctrl, alt and shift keys
[14:20:34] <Dieterbe> so to open a new terminal i would do alt-return, by holding the o key, which i don't always hold long enough
[14:21:42] <Dieterbe> perhaps i should change it to somethinh less 'aggressive' like alt-t, which could never result in hitting return when i shouldn't
[14:22:31] <Dieterbe> i've mad this o<enter> mistake a bit too often now
[14:27:13] <The-Compiler> I have tried using homerow mods, but they were too much in my way, so I use thumb keys for modifiers instead (some of them dual use, e.g. esc also being ctrl when held)
[14:33:02] <Dieterbe> yeah it's certainly not perfect. typing the regular chars becomes a bit laggy due to the holding-checks and you can't hold a key to get it to repeat (e.g. repeating 'h' in vim)
[15:02:13] *** Quits: calcmandan (~quassel@user/calcmandan) (Quit: Visit me at: gopher://gcpp.world)
[15:02:51] *** Joins: calcmandan (~quassel@user/calcmandan)
[15:10:37] *** Quits: reset (~reset@user/reset) (Quit: reset)
[15:23:38] *** Quits: guido (~weechat@2001:b07:6455:ac4f:3641:5dff:fe55:2a8f) (Quit: WeeChat 3.4)
[15:34:16] *** Joins: redsith (~redsith@45.81.189.55)
[15:35:11] *** Quits: redsith (~redsith@45.81.189.55) (Remote host closed the connection)
[15:35:53] *** Joins: redsith (~user@45.81.189.55)
[15:52:49] *** Joins: guido (~weechat@host-95-238-252-231.retail.telecomitalia.it)
[16:08:52] *** Joins: emagex (~user@user/emagex)
[16:15:59] <Ingvix> well, you shouldn't hold h anyway
[16:16:37] <Ingvix> in vim at least
[16:17:29] <Dieterbe> exactly, so in a way this is forcing me to learn better vim habits :)
[16:22:52] <ktprograms> Ingvix: So hold 'b' instead, and then press 'l' a few times to go to the middle of a word you misspelled? :)
[16:24:19] <Ingvix> you have too many words on a line if you can afford to hold b
[16:26:51] <ktprograms> Markdown?
[16:27:30] <The-Compiler> ktprograms: I love fX and FX to move forward/back to char X
[16:29:07] <ktprograms> The-Compiler: true, but in a long sentence, you can have tens of common characters like e
[16:32:18] <Dieterbe> TIL Fx and fx
[16:56:12] *** Quits: califax (~califax@user/califx) (Ping timeout: 276 seconds)
[16:57:56] *** Quits: Haudegen (~quassel@178.115.237.87.static.drei.at) (Quit: Bin weg.)
[17:02:56] *** Joins: califax (~califax@user/califx)
[17:06:03] *** Quits: emagex (~user@user/emagex) (Read error: Connection reset by peer)
[17:06:57] *** Joins: emagex (~user@user/emagex)
[17:09:08] *** Parts: redsith (~user@45.81.189.55) (ERC 5.4.1 (IRC client for GNU Emacs 27.2))
[17:11:59] *** Joins: redsith (~redsith@45.81.189.55)
[17:13:29] <Earnestly> forward-towards / Following character
[17:20:30] <Dieterbe> there's no way to repeat a fx/Fx operation, like you can use . to repeat an operation, right?
[17:20:57] *** Quits: redsith (~redsith@45.81.189.55) (Remote host closed the connection)
[17:24:48] <nimaje> . is to repeat an action and f/t/F/T are movements, if you know beforehand how often you want to do some action/movement you can prefix it with a count (yes 2c4fxstuff<ESC> is one action)
[17:31:04] <Dieterbe> i often don't know beforehand and just want to repeat the last movement command.
[17:32:58] <Earnestly> Dieterbe: ; and ,
[17:33:26] <Earnestly> ; forward  , back
[17:35:34] <Dieterbe> perfect, thanks!
[17:38:27] <ktprograms> til , for repeat backward. Thanks!
[17:40:22] *** Joins: sokle_68 (~sokle_68@ppp046176014050.access.hol.gr)
[17:57:46] *** Parts: sokle_68 (~sokle_68@ppp046176014050.access.hol.gr) ()
[18:01:42] *** Quits: ktprograms (~ktprogram@14.192.221.217) (Quit: Bye!)
[18:03:25] *** Joins: Haudegen (~quassel@91.114.49.10)
[18:14:06] *** Joins: arkurious (~arkurious@user/arkurious)
[18:25:57] *** Quits: noex (~null@user/noex) (Quit: :q!)
[18:30:10] *** Joins: noex (~null@user/noex)
[19:20:39] *** Quits: jnp (~jnphilipp@gateway/tor-sasl/jnphilipp) (Quit: Leaving)
[19:30:10] *** Quits: calciumdeficient (~anukulmoz@2001:470:69fc:105::ba0f) (Quit: You have been kicked for being idle)
[19:44:44] *** Quits: anginapectoris (~anginapec@user/anginapectoris) (Quit: The Lounge - https://thelounge.chat)
[19:44:59] *** Joins: anginapectoris (~anginapec@user/anginapectoris)
[19:55:06] *** Joins: neverfindme (~hayden@158.123.160.43)
[20:03:12] *** Quits: mord0d (~mord0d@gateway/tor-sasl/mord0d) (Remote host closed the connection)
[20:03:30] *** Quits: neverfindme (~hayden@158.123.160.43) (Quit: Leaving)
[20:03:33] *** Joins: mord0d (~mord0d@gateway/tor-sasl/mord0d)
[20:08:32] *** Quits: califax (~califax@user/califx) (Remote host closed the connection)
[20:08:46] *** Joins: califax (~califax@user/califx)
[20:09:25] *** Quits: elshize (elshize@gateway/vpn/protonvpn/elshize) (Remote host closed the connection)
[20:14:43] *** Quits: mys (~mys@gateway/tor-sasl/mys) (Remote host closed the connection)
[20:14:57] *** Joins: mys (~mys@gateway/tor-sasl/mys)
[20:15:17] *** Joins: jnphilipp (~jnphilipp@gateway/tor-sasl/jnphilipp)
[20:23:46] *** Quits: Haudegen (~quassel@91.114.49.10) (Quit: Bin weg.)
[20:31:08] *** Quits: noex (~null@user/noex) (Quit: :q!)
[20:45:43] *** Joins: noex (~null@user/noex)
[21:01:40] *** Quits: mornfall (~mornfall@user/mornfall) (Remote host closed the connection)
[21:02:07] *** Joins: mornfall (~mornfall@user/mornfall)
[21:36:07] *** Joins: Haudegen (~quassel@178.115.237.87.static.drei.at)
[22:33:33] *** Joins: blaub (~blaub@194-208-201-025.tele.net)
[23:40:00] *** Quits: blaub (~blaub@194-208-201-025.tele.net) (Quit: WeeChat 3.4)
[23:49:42] *** Joins: saufa (~saufa@m91-129-102-64.cust.tele2.ee)
[23:49:53] *** Quits: Haudegen (~quassel@178.115.237.87.static.drei.at) (Quit: No Ping reply in 180 seconds.)
[23:51:16] *** Joins: Haudegen (~quassel@178.115.237.87.static.drei.at)
