[00:00:34] *** Joins: BlackIkeEagle (~BlackIkeE@archlinux/trusteduser/blackikeeagle)
[00:05:46] <relipse> ok i figured it out
[00:44:09] *** Joins: simon816 (~simon816@ec2-35-178-246-72.eu-west-2.compute.amazonaws.com)
[00:44:09] *** Joins: robotkittenscat (~robotkitt@user/robotkittenscat)
[00:44:09] *** Joins: nbin_ (~nbin@user/nbin)
[00:44:09] *** Joins: deltab (~deltab@user/deltab)
[00:44:09] *** Joins: night_wulfe (~wulfe@cpe-174-103-156-213.cinci.res.rr.com)
[00:44:09] *** Joins: Albright (~Albright@149.28.13.173)
[00:44:09] *** Joins: eXtr3m0 (~eXtr3m0@user/eXtr3m0)
[00:44:09] *** Joins: Cybergeek (~Cybergeek@2a03:b0c0:3:e0::1ab:5001)
[00:44:09] *** Joins: Yorick- (znc@vps.freegamehosting.eu)
[00:44:09] *** Joins: ramsey (sid508214@phpc/ramsey)
[00:44:09] *** Joins: ekl (~ekl@user/ekl)
[00:44:09] *** Joins: biggie (~biggie@user/bige)
[00:44:09] *** Joins: poseidon_ (~broseidon@users.757.org)
[00:44:09] *** Joins: BlackBishop (dexter@user/blackbishop)
[00:44:09] *** Joins: Jck_true (~jcktrue@user/jck-true/x-0200799)
[00:44:09] *** Joins: yaraju (~yaraju@user/yaraju)
[00:44:09] *** Joins: Zombie_Ryushu (~masterz@h181.58.40.69.dynamic.ip.windstream.net)
[00:44:09] *** Joins: chiptuner (~bobby@user/chiptuner)
[00:44:09] *** Joins: mishehu (~mishehu@mira001.eyepeeveesicks.shavedgoats.net)
[00:44:09] *** Joins: entropy_ (~ent@user/entropy/x-9891564)
[00:44:09] *** Joins: LucaTM (~LucaTM@user/lucatm)
[00:44:09] *** Joins: sagax (~sagax_nb@user/sagax)
[00:44:09] *** Joins: noahmg123 (sid89117@ilkley.irccloud.com)
[00:44:09] *** Joins: mgocobachi (~m@ancrae.com)
[00:44:09] *** Joins: len (~len@v2202104141858149543.nicesrv.de)
[00:44:09] *** Joins: NoiseEee (~NoiseEee@178.128.153.219)
[00:44:09] *** Joins: Robdgreat (~rob@user/robdgreat)
[00:44:09] *** Joins: nortoh (~nortoh@user/nortoh)
[00:44:09] *** Joins: remolej (~kenoba@user/kenoba)
[00:44:09] *** Joins: salathe_ (~peter@idle.php.net)
[00:44:09] *** Joins: vel (~vel@ec2-52-62-28-79.ap-southeast-2.compute.amazonaws.com)
[00:44:09] *** Joins: Woet (~me@irc.woet.me)
[00:44:09] *** Joins: percY- (~percY@138.68.239.19)
[00:44:09] *** Joins: ReimuHakurei_ (~Reimu@raphi.vserver.alexingram.net)
[00:44:09] *** Joins: ss23 (~ss23@irc.ss23.geek.nz)
[00:44:09] *** Joins: fkrauthan (~fkrauthan@user/fkrauthan)
[00:44:09] *** Joins: FloridaMan (~FloridaMa@user/floridaman)
[00:44:09] *** Joins: znf (ibm86@blender.linge-ma.ro)
[00:44:09] *** Joins: molt (~molt@178-222-245-206.static.isp.telekom.rs)
[00:44:09] *** Joins: fiddlerwoaroof (~fiddlerwo@user/fiddlerwoaroof)
[00:44:09] *** Joins: Byteflux (~byte@byteflux.net)
[00:44:09] *** Joins: shokohsc (~shokohsc@lfbn-idf2-1-1472-129.w92-169.abo.wanadoo.fr)
[00:44:09] *** Joins: jgrim (~jgrim@d199-74-109-78.col.wideopenwest.com)
[00:44:09] *** Joins: bytestream2 (~bytestrea@user/bytestream)
[00:44:09] *** Joins: travisghansen (~travisgha@192.74.130.86)
[00:44:09] *** Joins: Bencraft (~Bencraft@user/Bencraft)
[00:44:09] *** Joins: junktext (~junktext@gateway/vpn/pia/junktext)
[00:44:09] *** Joins: m5zs7k (aquares@web10.mydevil.net)
[00:44:09] *** Joins: luva (~luva@37.120.197.52)
[00:44:09] *** Joins: pmercado_ (~pmercado@190.22.160.49)
[00:44:09] *** Joins: wovixo (~wovixo@128.104.205.49)
[00:44:09] *** Joins: glider (~glider@user/glider)
[00:44:09] *** Joins: magla (~gelignite@55d436fa.access.ecotel.net)
[00:44:09] *** Joins: The_Blod- (~Blode@user/the-blode/x-7164444)
[00:44:09] *** Joins: d3sync (~d3sync@62.1.158.240)
[00:44:09] *** Joins: litharge (litharge@libera/bot/litharge)
[00:44:14] *** Quits: epony (epony@user/epony) (Max SendQ exceeded)
[00:44:28] *** Joins: mintoyatsu (~mint@user/mintoyatsu)
[00:44:28] *** Joins: sgen (~sgen@2607:fea8:7ce1:c8e0:f141:ba0b:da0:3c4d)
[00:44:28] *** Joins: Koopz (~Koopz@koopz.rocks)
[00:44:28] *** Joins: puff (~user@S0106d4ca6d80a83c.vs.shawcable.net)
[00:44:28] *** Joins: vlm (~vlm@user/vlm)
[00:44:28] *** Joins: xep (~xep@76-210-4-7.lightspeed.sntcca.sbcglobal.net)
[00:44:28] *** Joins: Icedream (~icedream@hzn-b.serverkomplex.de)
[00:44:28] *** Joins: aloy (~luna@2001:41f0:3fe:3:30f9:22a5:2b5e:91f1)
[00:44:28] *** Joins: elastic_dog (~elastic_d@2a01:118f:822:9c00:f583:aa51:9ad4:d4fb)
[00:44:28] *** Joins: tercaL (~tercaL@user/tercal)
[00:44:28] *** Joins: miklcct (~quassel@vps.miklcct.com)
[00:44:28] *** Joins: hays (rootvegeta@fsf/member/hays)
[00:44:28] *** Joins: Furai (~Furai@furai.pl)
[00:44:28] *** Joins: jwpapi (sid502614@id-502614.uxbridge.irccloud.com)
[00:44:28] *** Joins: Warped (~Warped@user/warped)
[00:44:28] *** Joins: Forza (~Forza@user/forza)
[00:44:28] *** Joins: sabet (~sabet@user/sabet)
[00:44:28] *** Joins: nate (NBishop@o.apocaleaps.com)
[00:44:28] *** Joins: qwedfg_ (~qwedfg@user/qwedfg)
[00:44:28] *** Joins: Oclair_ (~Oclair@nq3.aventia.pw)
[00:44:28] *** Joins: winlundn (nick@2600:3c01::f03c:92ff:fe32:c297)
[00:44:28] *** Joins: Blondie101010 (~Blondie10@user/blondie101010)
[00:44:28] *** Joins: mixfix41 (~homefame@user/mixfix41)
[00:44:28] *** Joins: fury (uid193779@id-193779.helmsley.irccloud.com)
[00:44:28] *** Joins: AMG (ghebo@user/amg)
[00:44:28] *** Joins: dimbulb (~sam@indra.vis.nu)
[00:44:28] *** Joins: judabuda (kowbunga@user/judabuda)
[00:44:28] *** Joins: silly (silly@user/silly)
[00:44:28] *** Joins: couture (~couture@user/couture)
[00:44:28] *** Joins: catbeard (~noise@user/catbeard)
[00:44:28] *** Joins: akspecs (00cc8321af@sourcehut/user/akspecs)
[00:44:28] *** Joins: Kristine (~quassel@user/kristine)
[00:44:28] *** Joins: Kilroy (~thelounge@user/Kilroy)
[00:44:28] *** Joins: N3X15 (~nexis@mail.nexisonline.net)
[00:44:28] *** Joins: oztunan (~oztunan@oztunan.org)
[00:44:28] *** Joins: melchior (melchior@user/melchior)
[00:44:28] *** Joins: rb (~augh@theguntretort.com)
[00:44:28] *** Joins: olspookishmagus (~pookie@snf-137798.vm.okeanos.grnet.gr)
[00:44:30] *** Quits: kuhilas (~kuhilas@2001:470:69fc:105::3040) (Max SendQ exceeded)
[00:44:40] *** Quits: mixfix41 (~homefame@user/mixfix41) (Max SendQ exceeded)
[00:44:50] *** Joins: Mr-Snick_ (mr-snick@gateway/vpn/protonvpn/mr-snick)
[00:44:50] *** Joins: DrowningElysium (uid190788@user/drowningelysium)
[00:44:50] *** Joins: kerouac (~kerouac@2001:470:69fc:105::4e36)
[00:44:50] *** Joins: jdrab (~jdrab@user/jdrab)
[00:44:50] *** Joins: arash- (arash@thinks.life.is-a.beauty)
[00:44:50] *** Joins: Teraii (~teraii@juraii-s1-1.teraii.net)
[00:44:50] *** Joins: mr_gant (~mr_gant@203-206-182-122.perm.iinet.net.au)
[00:44:50] *** Joins: AsenMx (~asen@user/asenmx)
[00:44:50] *** Joins: dmk (~dmk@dmk.sh)
[00:44:50] *** Joins: c17r (~c17r@c17r.com)
[00:44:50] *** Joins: wyre (~wyre@user/wyre)
[00:44:50] *** Joins: Artea (~Lufia@artea.com.pt)
[00:44:50] *** Joins: Janusz (~Janusz@user/janusz)
[00:44:50] *** Joins: Learath2 (~learath2@user/learath2)
[00:44:50] *** Joins: steve (~steven@li677-71.members.linode.com)
[00:44:50] *** Joins: sharpertool (sid80151@id-80151.hampstead.irccloud.com)
[00:44:50] *** Joins: DCTWD (~dc@uz.utmappro.com)
[00:44:50] *** Joins: nekaii (nekaii@er.alltaf.online)
[00:44:56] *** Quits: kerouac (~kerouac@2001:470:69fc:105::4e36) (Ping timeout: 245 seconds)
[00:45:01] *** Joins: undefined_bob (~undefined@user/undefined-bob/x-5411918)
[00:45:01] *** Joins: de-facto (~de-facto@user/de-facto)
[00:45:01] *** Joins: gxt (~gxt@gateway/tor-sasl/gxt)
[00:45:01] *** Joins: MrBurns (~japa@ec2-13-48-124-121.eu-north-1.compute.amazonaws.com)
[00:45:01] *** Joins: FatBoyXPC (~FatBoyXPC@user/fatboyxpc)
[00:45:01] *** Joins: dag (~d@user/dag)
[00:45:08] *** Quits: sm (~sm@plaintextaccounting/sm) (Ping timeout: 252 seconds)
[00:45:11] *** Quits: sebbu (~sebbu@user/sebbu) (Read error: Connection reset by peer)
[00:45:18] *** Joins: judah (~judah@50.46.45.66)
[00:45:18] *** Joins: wutzelputz (~wutzelput@2001:470:69fc:105::3117)
[00:45:18] *** Joins: Deltik (~deltik@2001:470:69fc:105::1:5ba3)
[00:45:18] *** Joins: genomc (uid245282@id-245282.hampstead.irccloud.com)
[00:45:18] *** Joins: wolfgangspace (~wolfgangs@159.203.73.30)
[00:45:18] *** Joins: AciD (~fu@user/acid/x-5205451)
[00:45:18] *** Joins: ePirat (~ePirat@user/epirat)
[00:45:18] *** Joins: paladox (sid373195@wikimedia/paladox)
[00:45:18] *** Joins: celphi (sid97751@user/celphi)
[00:45:18] *** Joins: Donitz (~Donitz@88-115-149-215.elisa-laajakaista.fi)
[00:45:18] *** Joins: mjh4386_ (~mjh4386@165.22.53.231)
[00:45:18] *** Joins: biberu (~biberu@user/biberu)
[00:45:18] *** Joins: __adrian (~adrian@user/adrian/x-7832151)
[00:45:18] *** Joins: ringo__ (~ringo@157.230.117.128)
[00:45:18] *** Quits: wutzelputz (~wutzelput@2001:470:69fc:105::3117) (Ping timeout: 245 seconds)
[00:45:18] *** Quits: Deltik (~deltik@2001:470:69fc:105::1:5ba3) (Ping timeout: 245 seconds)
[00:46:14] *** Quits: Rubin (~rubin@2001:470:69fc:105::17e) (Ping timeout: 252 seconds)
[00:46:15] *** Quits: linext (~linext@pool-108-53-128-199.nwrknj.fios.verizon.net) (Remote host closed the connection)
[00:47:11] *** Quits: elastic_dog (~elastic_d@2a01:118f:822:9c00:f583:aa51:9ad4:d4fb) (Read error: Connection reset by peer)
[00:47:49] *** Quits: NiKaN (sid385034@id-385034.helmsley.irccloud.com) (Ping timeout: 240 seconds)
[00:52:11] *** Quits: magla (~gelignite@55d436fa.access.ecotel.net) (Quit: Stay safe!)
[01:01:31] *** Joins: ChanServ (ChanServ@services.libera.chat)
[01:01:31] *** erbium.libera.chat sets mode: +o ChanServ
[01:02:14] *** Joins: noord (~noord@user/noord)
[01:02:21] *** Joins: Nekomander (~BadAdvice@user/badadvicecat)
[01:05:33] *** Quits: pmercado_ (~pmercado@190.22.160.49) (Ping timeout: 256 seconds)
[01:09:24] *** Joins: BlackIkeEagle (~BlackIkeE@archlinux/trusteduser/blackikeeagle)
[01:13:48] *** Quits: BlackIkeEagle (~BlackIkeE@archlinux/trusteduser/blackikeeagle) (Client Quit)
[01:17:01] *** Joins: BlackIkeEagle (~BlackIkeE@archlinux/trusteduser/blackikeeagle)
[01:17:02] *** Joins: ProfSimm (~ProfSimm@87.227.196.109)
[01:18:10] *** Joins: wutzelputz (~wutzelput@2001:470:69fc:105::3117)
[01:21:32] <relipse> hello?
[01:21:37] <relipse> echo...echo..
[01:22:08] <stenno> it was just a netsplit
[01:23:13] <relipse> hi stenno
[01:23:18] <relipse> you are on a lot of the same channels as me
[01:23:25] <relipse> common interest?
[01:23:27] <stenno> webdev
[01:23:33] <relipse> right
[01:24:03] *** Joins: Rubin (~rubin@2001:470:69fc:105::17e)
[01:24:29] *** Joins: fsoc (~shynerd@bison.alphaw0lf.xyz)
[01:24:38] <fsoc> In MySQL on GRANT's command, how is `GRANT SELECT ON some_database.* TO foo@bar.com` different from `GRANT SELECT ON some_database TO foo@bar.com`? Are these things just same?
[01:24:59] <Robdgreat> that's mysql. this is #php
[01:25:00] <stenno> fsoc: did you want #mysql ?
[01:26:10] <fsoc> #mysql wasn't having much activity, so I thought of asking it here (as most PHP devs knowledgeable on mysql0
[01:26:35] <stenno> this is not how topical channels work
[01:33:00] <relipse> i'm totally guilty of what fsoc did
[01:33:09] <relipse> i'm the most off topic person in this channel probably
[01:37:47] *** Joins: sm (~sm@plaintextaccounting/sm)
[01:40:06] *** Quits: Nekomander (~BadAdvice@user/badadvicecat) (Quit: Quitting)
[01:40:21] *** Joins: Nekomander (~BadAdvice@user/badadvicecat)
[01:45:07] *** Joins: kuhilas (~kuhilas@2001:470:69fc:105::3040)
[01:50:49] *** Joins: kerouac (~kerouac@2001:470:69fc:105::4e36)
[01:53:37] *** Joins: echo (uid504326@user/echosmile)
[01:57:57] *** Joins: Tunefix (~Tunefix@247.92-221-139.customer.lyse.net)
[01:59:10] *** Quits: guido (~weechat@host-82-59-230-189.retail.telecomitalia.it) (Quit: WeeChat 3.4)
[01:59:59] *** Joins: Deltik (~deltik@2001:470:69fc:105::1:5ba3)
[02:04:36] *** Joins: ash_worksi (~ash_m@user/ash-m/x-3292451)
[02:05:02] <ash_worksi> so I had this working at one point and I'm not sure what changed
[02:05:15] *** Quits: undefined_bob (~undefined@user/undefined-bob/x-5411918) (Remote host closed the connection)
[02:05:36] *** Joins: undefined_bob (~undefined@user/undefined-bob/x-5411918)
[02:05:47] <ash_worksi> I am trying to get nginx to redirect to an external site when the upstream proxy fails
[02:06:02] <Blondie101010> then you're on the wrong channel
[02:06:06] <Blondie101010> #nginx
[02:08:59] *** Quits: UnknowingMind (~Unknowing@108.217.80.213) (Remote host closed the connection)
[02:10:37] *** Quits: eXtr3m0 (~eXtr3m0@user/eXtr3m0) (Ping timeout: 240 seconds)
[02:10:39] <ash_worksi> supposedly, I should be able to do this with `proxy_intercept_errors on;`... when I look at the debug log I see `header: "Status: 404 Not Found"` ... but of course the normal error is "primary script not found" ... the point is, is there some FPM setting I need to change to get FPM to send back a 404 for a missing script or no?
[02:15:23] <ash_worksi> note that everything works as expected if I test a location that exists but just responds with a 404
[02:15:45] <ash_worksi> which of course is not useful
[02:19:59] *** Joins: BadAdviceCat (~BadAdvice@user/badadvicecat)
[02:20:21] *** Quits: Nekomander (~BadAdvice@user/badadvicecat) (Ping timeout: 256 seconds)
[02:23:23] *** Quits: tirnanog (~tirnanog@user/tirnanog) (Quit: = "")
[02:24:04] *** Joins: nitrospectide (~Adium@38.65.76.76)
[02:24:44] <nitrospectide> If I did a print_r on an array, and got the following, what would be the syntax to grab that 22578 value? https://www.toptal.com/developers/hastebin/ruzolozoma.php
[02:30:03] *** Joins: Mr-Snick (mr-snick@gateway/vpn/protonvpn/mr-snick)
[02:31:32] <Albright> nitrospectide: $array[0]->ID
[02:33:16] *** Quits: Mr-Snick_ (mr-snick@gateway/vpn/protonvpn/mr-snick) (Ping timeout: 245 seconds)
[02:35:53] *** Joins: varrg (~varrg@h-176-10-198-245.A351.priv.bahnhof.se)
[02:38:59] *** Joins: mikey_p (uid129477@uxbridge.irccloud.com)
[02:40:19] *** Quits: varrg (~varrg@h-176-10-198-245.A351.priv.bahnhof.se) (Client Quit)
[02:42:18] <nitrospectide> Albright: Thank you
[02:46:02] *** Joins: rgucluer (~rgucluer@176.41.26.26)
[02:48:20] *** Quits: da_wunder (~wunder@dsl-jklbng11-54fa51-220.dhcp.inet.fi) (Ping timeout: 256 seconds)
[02:52:53] *** Joins: luva8 (~luva@37.120.197.44)
[02:56:03] *** Quits: luva (~luva@37.120.197.52) (Ping timeout: 256 seconds)
[03:04:26] *** Quits: genomc (uid245282@id-245282.hampstead.irccloud.com) (Quit: Connection closed for inactivity)
[03:05:23] <puff> Evening.
[03:05:48] <puff> Anyone want to talk design?  I have this library I want to code, and I know how I'd design it, but it's very influenced by my java background.  I'm wondering if it makes sense in a php context.
[03:07:34] <Albright> Modern PHP is increasingly Java-ish particularly to using namespaces and such
[03:07:44] <puff> Ah.
[03:07:59] <Albright> Did you have any specific questions?
[03:14:35] <puff> Well the basic idea is to generate a row object for each table.  The row object is pretty much a javabean, if you're familiar with that.
[03:15:24] <puff> The obvious use for the row class is to map query results to a list of row objects. The row classes themselves don't deliver much value, but they support the other parts.
[03:17:07] <puff> Each column represented in a row class has a set/unset flag, a render-to-HTML class, a render-to-input-element class, a parse-from-GET/POST-variable class, and a list of test classes. (Class instances, actually).
[03:17:39] <Albright> To slow you down a bit
[03:17:42] <puff> The library generates row, query, and mapper classes for each table.
[03:17:57] <Albright> …Oh. okay, go on
[03:18:43] <Blondie101010> a library doesn't typically generate classes..  that sounds more like a utility
[03:18:44] <puff> The query class is for simple queries; for anything complex, you write it yourself.  But for simple stuff, you instantiate a row, set the instance values you want to use in the LIKE clause, hand it to a query class method.
[03:19:08] <puff> The query class method looks at the set/unset flags in the row object, constructs a query, returns the resultset.
[03:19:33] <puff> The calling code then passes the resultset to the mapper class, and gets back a row object or a list of row objects.
[03:19:34] <Blondie101010> does that handle joins?
[03:19:52] <puff> Nope, like I said, for complex stuff you write your own SQL.  This is just to handle the obvious stuff.
[03:20:00] <Blondie101010> then it's useless
[03:20:09] <Blondie101010> don't waste time on it
[03:20:13] <puff> Though I do have some thoughts on having the mapper support mapping joined resultsets.
[03:20:38] <Blondie101010> there are common renown solutions
[03:20:40] <Albright> That's a bit harsh, but yes, I prefer not to use heavy libraries for this sort of thing and just write my own queries most of the time nowadays
[03:20:45] <puff> Well, like I said, what I'm mainly asking about is where it doesn't match PHP idioms.
[03:20:59] <Blondie101010> not relevan t
[03:21:13] <Blondie101010> you make a complex design which only limits you
[03:21:15] <puff> I've looked at several different libraries and they all seem to require far too much work for far too little value.
[03:21:40] <Blondie101010> don't really like ORMs but you should look at what exists
[03:21:42] *** Quits: LucaTM (~LucaTM@user/lucatm) (Quit: Textual IRC Client: www.textualapp.com)
[03:21:47] <puff> Actually it's a pretty simple design, that's the point.  The only tricky part about it is designing it so it gets out of your way when you're not doing simple stuff.
[03:22:00] <Albright> Judging if it matches PHP idioms would require looking at the code. But nothing of what you said so far sounds like it'd be unusual to do in PHP.
[03:22:08] <puff> Albright: Thanks.
[03:23:05] <Blondie101010> not sure how that could have been inspired by Java since Java classes are not generated
[03:23:22] <puff> Most ORMs work great, as long as you color inside the lines.  When you don't, then you're kinda screwed.
[03:23:38] <Albright> Isn't it the meme of Java to have FactoryFactories?
[03:23:47] <puff> Blondie101010: It's not "inspired by java", and I never claimed it was.  Just that it makes sense to me, but my background is much more java than PHP.
[03:23:58] <Blondie101010> ok
[03:24:06] <puff> Beans, beans, everywhere.
[03:24:14] <puff> Etc.
[03:24:20] <Blondie101010> there are bean libs in PHP
[03:24:49] <Blondie101010> https://packagist.org/?query=bean
[03:25:27] <puff> Ah, I'd had the impression that people didn't use rowbeans in php much.
[03:26:52] <Blondie101010> that will always be sub-optimal because it prevents DB optimization
[03:27:50] <Albright> Yeah, with some of those heavy DB libraries, I gotta wonder if more time is spent building a complex query than it takes the RDBMS to execute it sometimes.
[03:27:53] *** Quits: luva8 (~luva@37.120.197.44) (Quit: Byebye)
[03:28:15] <Blondie101010> in the context of a single user app, it may not be even noticeable, but things may be very different on a web service
[03:28:24] <Albright> I know SQL itself is really complex but I don't think these libraries typically make the complex things simpler, but often make the simple things more complex
[03:28:25] *** Joins: luva (~luva@37.120.197.44)
[03:28:40] <Blondie101010> indeed
[03:28:46] <puff> Albright: That's pretty much how I feel.
[03:28:48] <__adrian> haven't fully read through everything, but joins are not "complex"
[03:29:14] <Albright> Tell that to a newbie.
[03:29:19] <__adrian> also not sure if you're planning on using these Row classes in your domain logic, but don't  :)
[03:29:48] <puff> Albright: I remember when ORMs finally started getting big in java, probably around the early 2000s, and my immediate response was "gee, I wonder how they handle complex queries?" and the answer, of course, was "not very well."
[03:30:32] <Blondie101010> but common ORMs do now
[03:31:00] <Blondie101010> my main point is not to make your own crap...  use what exists or nothing
[03:31:04] <puff> Blondie101010: I remember debugging some hairy hibernate issues. Hibernate isn't my strong suite, but then it appears it's hardly anyone's.
[03:31:28] <puff> Blondie101010: I'd be happy to use an existing solution, if I found one that met my needs.
[03:31:49] <puff> Also, come to think of it, that wasn't *just* hibernate, it was something like three layers of pluggable APIs.
[03:32:02] <puff> Felt like wading through hip deep mud.
[03:34:00] *** Parts: nitrospectide (~Adium@38.65.76.76) ()
[03:34:36] <puff> So what's your recommended tool/framework/library/roncovegematic for basic CRUD apps in Php?
[03:36:54] *** Quits: rgucluer (~rgucluer@176.41.26.26) (Quit: Leaving)
[03:37:35] <Albright> Are you still talking just in terms of database?
[03:38:02] <puff> No, the whole thing.
[03:38:27] <puff> I google on php frameworks and all I find are content farm sites, endless vaguely and poorly written "top five PHP framework" reviews, etc.
[03:39:11] <Blondie101010> look at a few and pick the most common ones
[03:39:22] <Blondie101010> the lists will probably be very similar
[03:39:28] <Albright> CodeIgniter is not terrible, though it feels a bit old.
[03:40:13] <Albright> Slim is very basic and you'll need to find other libraries or write your own if you need some common stuff like user authentication but it might be a good foundation to build off of.
[03:42:40] <puff> Laravel, Symfony and CodeIgniter seem to come up often.
[03:43:10] <Albright> Laravel is the library of choice for developers who like to sniff their own farts
[03:43:16] <Albright> *framework of choice
[03:43:45] <Albright> Symfony is quite large and complex and I find the documentation to not be very friendly, but YMMV
[03:44:16] <Blondie101010> indeed
[03:44:35] <Blondie101010> Symfony is modular...  you choose what you want
[03:45:08] <Albright> Laravel is also the framework of choice for people who see no problem with installation instructions that involve running `curl somerandom.url | sh`
[03:46:58] <puff> Okay, so not laravel, not symfony, not codeigniter, so...
[03:47:21] <stenno> symfony with api-platform is just fine imo
[03:47:43] <Albright> Yeah, I'm being critical, but you should make your own evaluations.
[03:47:51] <stenno> true
[03:49:03] *** Quits: gxt (~gxt@gateway/tor-sasl/gxt) (Ping timeout: 276 seconds)
[03:49:13] <stenno> symfony can be very lean and sinatra-like with their microkernel(?) stuff
[03:50:42] *** Joins: gxt (~gxt@gateway/tor-sasl/gxt)
[03:56:48] *** Quits: echo (uid504326@user/echosmile) ()
[04:02:04] <__adrian> "Laravel is the library of choice for developers who like to sniff their own farts"  i'm SO GLAD to see how objective and professional everyone's being today
[04:02:24] <__adrian> also, i chuckled.
[04:03:49] <__adrian> symfony's docs problem: mostly a result of being so large a project, i think. unfortunate. but it's usually not hard to figure out.
[04:14:43] *** Joins: WishBoy (~WishBoy@user/wishboy)
[04:18:28] *** Quits: Vision (~Vision@097-087-115-181.res.spectrum.com) (Read error: Connection reset by peer)
[04:21:37] *** Quits: BadAdviceCat (~BadAdvice@user/badadvicecat) (Ping timeout: 256 seconds)
[04:25:42] <Albright> It calls its CLI tool "artisan," come on
[04:27:17] *** Joins: Viper-7 (~viper7@irc.viper-7.com)
[04:33:40] *** Joins: Vision (~Vision@097-087-115-181.res.spectrum.com)
[04:40:00] *** Quits: ms49434 (~ms49434@user/ms49434) (Quit: Leaving)
[05:20:09] *** Quits: mishehu (~mishehu@mira001.eyepeeveesicks.shavedgoats.net) (Ping timeout: 250 seconds)
[05:20:26] *** Joins: mishehu (~mishehu@mira001.eyepeeveesicks.shavedgoats.net)
[05:30:19] *** Quits: vlm (~vlm@user/vlm) (Quit: "")
[05:32:52] *** Joins: vlm (~vlm@user/vlm)
[05:33:55] *** Quits: mishehu (~mishehu@mira001.eyepeeveesicks.shavedgoats.net) (Ping timeout: 256 seconds)
[05:34:06] *** Joins: mishehu (~mishehu@mira001.eyepeeveesicks.shavedgoats.net)
[05:47:46] *** Quits: DrowningElysium (uid190788@user/drowningelysium) (Quit: Connection closed for inactivity)
[05:52:34] *** Parts: davetoo_ (~davetoo@2600:8802:5704:c900:7145:6a77:28c3:6cbd) (Leaving...)
[05:54:16] *** Joins: Hiccup (cHoy@user/hiccup)
[06:04:24] *** Joins: epony (epony@user/epony)
[06:19:42] *** Joins: BadAdviceCat (~BadAdvice@user/badadvicecat)
[06:51:23] *** Quits: mishehu (~mishehu@mira001.eyepeeveesicks.shavedgoats.net) (Ping timeout: 250 seconds)
[06:57:26] *** Joins: mishehu (~mishehu@mira001.eyepeeveesicks.shavedgoats.net)
[07:07:00] *** Joins: Rockwood (~Rocky@user/rocky)
[07:12:27] *** Joins: DrAny7H1n5 (~bruno@177.205.235.55.dynamic.adsl.gvt.net.br)
[07:12:44] *** Joins: ferdna (~ferdna@user/ferdna)
[07:29:16] *** Joins: genomc (uid245282@hampstead.irccloud.com)
[07:51:35] *** Joins: mIk3_08 (~Thunderbi@user/mik3-08/x-2852566)
[07:58:20] *** Quits: WishBoy (~WishBoy@user/wishboy) ()
[08:02:03] *** Quits: DrAny7H1n5 (~bruno@177.205.235.55.dynamic.adsl.gvt.net.br) (Ping timeout: 256 seconds)
[08:06:13] *** Quits: mikey_p (uid129477@uxbridge.irccloud.com) (Quit: Connection closed for inactivity)
[08:15:48] *** Quits: Rockwood (~Rocky@user/rocky) (Read error: Connection reset by peer)
[08:17:40] *** Quits: Hiccup (cHoy@user/hiccup) (Ping timeout: 250 seconds)
[08:19:43] *** Joins: Rockwood (~Rocky@user/rocky)
[08:27:09] *** Quits: Rockwood (~Rocky@user/rocky) (Quit: The Time is Over)
[08:28:10] *** Quits: ferdna (~ferdna@user/ferdna) (Quit: Leaving)
[08:29:00] *** Joins: Hiccup (~cHoy@user/hiccup)
[08:42:27] *** Quits: php-bot (~php-bot@box.croustillant.ch) (Read error: Connection reset by peer)
[08:42:54] *** Joins: php-bot (~php-bot@box.croustillant.ch)
[08:43:05] *** Quits: ProfSimm (~ProfSimm@87.227.196.109) (Remote host closed the connection)
[08:49:02] *** Joins: tw2113 (~tw2113@2001-48F8-6-1318-D2AB-D5FF-FE77-2BD5-dynamic.midco.net)
[09:31:06] *** Quits: \mSg (mSg@user/msg/x-0285936) (Read error: Connection reset by peer)
[09:31:27] *** Joins: \mSg (mSg@user/msg/x-0285936)
[09:31:45] *** Joins: PovilasCNC (~PovilasCN@user/PovilasCNC)
[09:38:40] *** Quits: tercaL (~tercaL@user/tercal) (Ping timeout: 250 seconds)
[09:43:49] *** Quits: Tunefix (~Tunefix@247.92-221-139.customer.lyse.net) (Quit: leaving)
[09:49:53] *** Joins: clarjon1 (~clarjon1@user/clarjon1)
[09:51:39] *** Quits: tw2113 (~tw2113@2001-48F8-6-1318-D2AB-D5FF-FE77-2BD5-dynamic.midco.net) (Quit: Leaving)
[10:30:53] *** Joins: guido (~weechat@host-95-235-251-51.retail.telecomitalia.it)
[10:31:08] *** Quits: de-facto (~de-facto@user/de-facto) (Remote host closed the connection)
[10:31:22] *** Joins: de-facto (~de-facto@user/de-facto)
[10:32:17] *** Quits: guido (~weechat@host-95-235-251-51.retail.telecomitalia.it) (Client Quit)
[10:32:27] *** Joins: guido (~weechat@host-95-235-251-51.retail.telecomitalia.it)
[10:45:02] *** Joins: fahrradToken (~fahrradTo@2a02:810b:149f:f0f4::e3bb)
[10:47:32] *** Quits: guido (~weechat@host-95-235-251-51.retail.telecomitalia.it) (Quit: WeeChat 3.4)
[10:50:42] *** Joins: jnugle (~jnugle@2406:7400:73:94e:ec23:eb97:665b:4d3e)
