[00:02:00] *** Quits: ar3itrary (~hacker@2a03:4000:6:8177:2::1) (Quit: No Ping reply in 180 seconds.)
[00:03:09] *** Joins: ar3itrary (~hacker@2a03:4000:6:8177:2::1)
[00:30:04] *** Quits: Zeklyn- (~Zeklyn@zeklyn.net) (Quit: %VPS Died%)
[00:30:25] *** Joins: Zeklyn_ (~Zeklyn@zeklyn.net)
[00:41:40] *** Quits: romano2k_ (~romano2k@user/romano2k) (*.net *.split)
[00:41:40] *** Quits: Bardon (~Bardon@user/Bardon) (*.net *.split)
[00:41:40] *** Quits: muirrum_ (~muirrum@sourcehut/user/muirrum) (*.net *.split)
[00:41:40] *** Quits: Sentuplex (~znc@192.3.86.137) (*.net *.split)
[00:41:40] *** Quits: skg_ (~skg@pool-71-244-172-108.bltmmd.fios.verizon.net) (*.net *.split)
[00:41:40] *** Quits: hjckr (~nikolay@external.oldum.net) (*.net *.split)
[00:41:40] *** Quits: gradator (~gradator@atreides.gradator.net) (*.net *.split)
[00:41:40] *** Quits: ebb (ebb@user/ebb) (*.net *.split)
[00:41:40] *** Quits: ReimuHakurei_ (~Reimu@raphi.vserver.alexingram.net) (*.net *.split)
[00:41:40] *** Quits: sander (~sander@user/sander) (*.net *.split)
[00:41:40] *** Quits: histrio_ (~histrio@109.234.34.168) (*.net *.split)
[00:41:40] *** Quits: mniip (mniip@libera/staff/mniip) (*.net *.split)
[00:41:40] *** Quits: simontime (~simontime@irc.simonti.me) (*.net *.split)
[00:41:40] *** Quits: K0HAX-2 (~michael@232.113.223.35.bc.googleusercontent.com) (*.net *.split)
[00:41:40] *** Quits: seed0 (~seed0@user/seed0) (*.net *.split)
[00:41:40] *** Quits: mathu (~matt@user/mathu) (*.net *.split)
[00:41:40] *** Quits: Teacup (~teacup@user/teacup) (*.net *.split)
[00:41:40] *** Quits: phroa (~phroa@user/phroa) (*.net *.split)
[00:41:40] *** Quits: lkcl (lkcl@we.will.rock.you.bnc4you.xyz) (*.net *.split)
[00:41:41] *** Quits: RhinosF1 (uid339563@miraheze/RhinosF1) (*.net *.split)
[00:41:41] *** Quits: The_LoudSpeaker (~raman@nightly.zulipdev.org) (*.net *.split)
[00:41:41] *** Quits: nephyrin (~neph@user/nephyrin) (*.net *.split)
[00:41:41] *** Quits: EpicNeo (sid443260@id-443260.hampstead.irccloud.com) (*.net *.split)
[00:41:41] *** Quits: CME (~CME@2a02:810a:8cc0:6401:ba27:ebff:fe8d:4857) (*.net *.split)
[00:41:41] *** Quits: tcole (~tcole@user/tcole) (*.net *.split)
[00:41:41] *** Quits: mpmc (~mpmc@user/mpmc) (*.net *.split)
[00:41:41] *** Quits: bigua (bigua@bigua.org) (*.net *.split)
[00:41:41] *** Quits: XgF (~quassel@2001:19f0:5001:1174:5400:2ff:fef2:1fa2) (*.net *.split)
[00:41:41] *** Quits: MJ94 (mj94@user/mj94) (*.net *.split)
[00:41:41] *** Quits: pavelow_ (~pavelow@opticalchimp.com) (*.net *.split)
[00:41:41] *** Quits: jonty (sid115@id-115.tinside.irccloud.com) (*.net *.split)
[00:41:41] *** Quits: placeb0 (uid283215@id-283215.lymington.irccloud.com) (*.net *.split)
[00:41:41] *** Quits: teward (sid379306@ubuntu/member/teward) (*.net *.split)
[00:41:41] *** Quits: GhostBusters (sid230692@id-230692.helmsley.irccloud.com) (*.net *.split)
[00:41:41] *** Quits: salimfadhley (sid31217@wikipedia/salimfadhley) (*.net *.split)
[00:41:41] *** Quits: robla (sid6864@id-6864.lymington.irccloud.com) (*.net *.split)
[00:41:41] *** Quits: ricab (~quassel@canonical/ricab) (*.net *.split)
[00:41:41] *** Quits: tripp (~trip@absolut.mindfuck.net) (*.net *.split)
[00:41:41] *** Quits: mdrjr (~mdrjr@104.236.30.141) (*.net *.split)
[00:41:41] *** Quits: MamaMouse (~MsMouse@2001:19f0:7402:123a:5400:2ff:fe9b:f19c) (*.net *.split)
[00:41:41] *** Quits: shayne (~shayne@user/shayne) (*.net *.split)
[00:41:42] *** Quits: Zimdale (sid421484@id-421484.lymington.irccloud.com) (*.net *.split)
[00:41:42] *** Quits: odrling (~odrling@korone.aidoru.agency) (*.net *.split)
[00:41:42] *** Quits: the4oo4 (~the4oo4@shenzhou.whatbox.ca) (*.net *.split)
[00:41:42] *** Quits: CaptainUnix (~CaptainUn@user/captainunix) (*.net *.split)
[00:41:42] *** Quits: EWDurbin (sid38710@id-38710.tinside.irccloud.com) (*.net *.split)
[00:41:42] *** Quits: urbanecm (sid196503@wikimedia/Martin-Urbanec) (*.net *.split)
[00:41:42] *** Quits: Ferdirand (~somebody@2001:4c78:2012:5000::2) (*.net *.split)
[00:41:42] *** Quits: Armen (~Armen@armen138.com) (*.net *.split)
[00:41:42] *** Quits: relrod (~relrod@redhat/ansible.staff.relrod) (*.net *.split)
[00:41:42] *** Quits: benh (~benh@pip.ozlabs.org) (*.net *.split)
[00:41:42] *** Quits: dkrtre (ip6@78.24.188.235) (*.net *.split)
[00:41:42] *** Quits: DrGibby (sid95320@waterproofcloak/gibby) (*.net *.split)
[00:41:42] *** Quits: Benett (~Benett@xnetx.de) (*.net *.split)
[00:41:42] *** Quits: mrarm (~mrarm@revolutionirc/developer/mrarm) (*.net *.split)
[00:41:42] *** Quits: kashike (kashike@user/kashike) (*.net *.split)
[00:41:42] *** Quits: Ckat (~Ckat@xn--z7x.xn--6frz82g) (*.net *.split)
[00:41:42] *** Quits: shr2 (~shrysr@user/shrysr) (*.net *.split)
[00:41:42] *** Quits: Nothing4You (N4Y@nothing4you.w.tf-w.tf) (*.net *.split)
[00:41:42] *** Quits: jgn (~jgn@user/jgn) (*.net *.split)
[00:41:42] *** Quits: x10 (~x10@2001:bc8:182c:835::1) (*.net *.split)
[00:41:42] *** Quits: darkphoenix (darkphnx@user/darkphoenix) (*.net *.split)
[00:41:42] *** Quits: Zeklyn_ (~Zeklyn@zeklyn.net) (*.net *.split)
[00:41:42] *** Quits: mjbrooks (~mjbrooks@icinga/team/mjbrooks) (*.net *.split)
[00:41:42] *** Quits: effbiai (~effbiai@user/effbiai) (*.net *.split)
[00:41:42] *** Quits: lostlabyrinth (~lab@194.233.100.248) (*.net *.split)
[00:41:42] *** Quits: fzerorub1gd (~somebody@user/fzerorubigd) (*.net *.split)
[00:41:42] *** Quits: nurupo (~nurupo.ga@user/nurupo) (*.net *.split)
[00:41:42] *** Quits: paperManu_ (~paperManu@138.197.128.151) (*.net *.split)
[00:41:42] *** Quits: swordsmanz (~swordsman@irc.neko.sx) (*.net *.split)
[00:41:42] *** Quits: NSA (N4Y@national-security.agency) (*.net *.split)
[00:41:42] *** Quits: jeff (~jeff@user/jeff) (*.net *.split)
[00:41:42] *** Quits: qubidt (~qubidt@user/qubidt) (*.net *.split)
[00:41:42] *** Quits: AgentK (~AgentK@user/agentk) (*.net *.split)
[00:41:42] *** Quits: jtrucks (~jtrucks@ec2-34-232-29-41.compute-1.amazonaws.com) (*.net *.split)
[00:41:42] *** Quits: A_Dragon (A_D@libera/staff/dragon) (*.net *.split)
[00:41:42] *** Quits: dynos01 (~dynos01@li820-149.members.linode.com) (*.net *.split)
[00:41:42] *** Quits: richrd (~wavi@thelounge/maintainer/wavi) (*.net *.split)
[00:41:42] *** Quits: kaz_ (~kaz@103.230.141.36) (*.net *.split)
[00:41:42] *** Quits: kaz (~kaz@103.230.141.36) (*.net *.split)
[00:41:42] *** Quits: spuc (~spuc@ns346943.ip-5-135-160.eu) (*.net *.split)
[00:41:42] *** Quits: Liz3 (~Liz3@irc.liz3.net) (*.net *.split)
[00:41:42] *** Quits: _________ (~nobody@user/noodly) (*.net *.split)
[00:41:42] *** Quits: Raichu (~Raichu@totodile.io) (*.net *.split)
[00:41:42] *** Quits: tweska (~tweska@2sk.nl) (*.net *.split)
[00:41:42] *** Quits: meyer (~nunyuh@user/cosanostra) (*.net *.split)
[00:41:42] *** Quits: chesty (~chesty@whocares.crashbunny.com) (*.net *.split)
[00:41:42] *** Quits: seisatsu (~seisatsu@107.161.24.70) (*.net *.split)
[00:41:42] *** Quits: kgz (~kragniz@nyaa.kragniz.eu) (*.net *.split)
[00:41:42] *** Quits: brabo (~brabo@user/brabo) (*.net *.split)
[00:41:43] *** Quits: psycho (psycho@2607:5300:201:3100::323f) (*.net *.split)
[00:41:43] *** Quits: Jubaleth (~Jubaleth@octoprint/Jubaleth) (*.net *.split)
[00:41:43] *** Quits: jtle (~quassel@2a01:4f8:1c1e:53e2::2) (*.net *.split)
[00:41:43] *** Quits: Adran (adran@botters/adran) (*.net *.split)
[00:41:43] *** Quits: marienz (~marienz@libera/staff/marienz) (*.net *.split)
[00:41:43] *** Quits: moz (~moz@dont.loginto.me) (*.net *.split)
[00:41:43] *** Quits: voker57 (~quassel@2a06:1700:0:24::) (*.net *.split)
[00:41:43] *** Quits: SrPx (sid108780@id-108780.uxbridge.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: Naleksuh (sid454423@wikimedia/naleksuh) (*.net *.split)
[00:41:43] *** Quits: genomc (uid245282@id-245282.hampstead.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: victor__ (sid208353@id-208353.tinside.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: raboof (sid330499@id-330499.hampstead.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: tritlo (sid58727@user/tritlo) (*.net *.split)
[00:41:43] *** Quits: jennmoney (sid16277@id-16277.tinside.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: wiu_1 (~wiu@static.61.123.9.5.clients.your-server.de) (*.net *.split)
[00:41:43] *** Quits: terrorjack (~terrorjac@2a01:4f8:1c1e:509a::1) (*.net *.split)
[00:41:43] *** Quits: ninjabanjo (~ninjabanj@107.150.45.163) (*.net *.split)
[00:41:43] *** Quits: Xen (xenthys@wireguard/tunneler/xenthys) (*.net *.split)
[00:41:43] *** Quits: neunon (~neunon@user/neunon) (*.net *.split)
[00:41:43] *** Quits: tykling (~tykling@irc.tyknet.dk) (*.net *.split)
[00:41:43] *** Quits: lechner (~lechner@debian/lechner) (*.net *.split)
[00:41:43] *** Quits: aeka (~aeka@user/hiruji) (*.net *.split)
[00:41:43] *** Quits: Ducki (~ducki@user/ducki) (*.net *.split)
[00:41:43] *** Quits: foophoof (sid209755@user/foophoof) (*.net *.split)
[00:41:43] *** Quits: vito (sid1962@user/vito) (*.net *.split)
[00:41:43] *** Quits: ljharb (sid43720@user/ljharb) (*.net *.split)
[00:41:43] *** Quits: debnet (sid330295@python/afpy/debnet) (*.net *.split)
[00:41:43] *** Quits: paladox (sid373195@wikimedia/paladox) (*.net *.split)
[00:41:43] *** Quits: cln (sid336875@id-336875.ilkley.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: ouroboros (~ouroboros@user/ouroboros) (*.net *.split)
[00:41:43] *** Quits: jhawthorn_ (~jhawthorn@user/jhawthorn) (*.net *.split)
[00:41:43] *** Quits: entropie (~mit@ip5f59986f.dynamic.kabel-deutschland.de) (*.net *.split)
[00:41:43] *** Quits: MrLuca (~Luca@user/mrluca) (*.net *.split)
[00:41:43] *** Quits: Mrkva (~mrkva@user/mrkva) (*.net *.split)
[00:41:43] *** Quits: encukou (quassel@nat-pool-brq-t.redhat.com) (*.net *.split)
[00:41:43] *** Quits: JackFrost (ukikie@libera/staff/unit193) (*.net *.split)
[00:41:43] *** Quits: sirn (~sirn@user/sirn) (*.net *.split)
[00:41:43] *** Quits: stux|away (~stux@82.192.81.143) (*.net *.split)
[00:41:43] *** Quits: crummel (~crummel@user/crummel) (*.net *.split)
[00:41:43] *** Quits: ihabunek1 (~ihabunek@bezdomni.net) (*.net *.split)
[00:41:43] *** Quits: NetHogr (~NetHogr@user/nethogr) (*.net *.split)
[00:41:43] *** Quits: Zed (sid295344@tinside.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: href (~href@Sade.random.sh) (*.net *.split)
[00:41:43] *** Quits: Johann (~johann@user/johann) (*.net *.split)
[00:41:43] *** Quits: Skyl3r (~Skyl3r@12.52.238.35.bc.googleusercontent.com) (*.net *.split)
[00:41:43] *** Quits: mcfrdy (~mcfrdy@user/mcfrdy) (*.net *.split)
[00:41:43] *** Quits: _- (~orgg@user/orgg) (*.net *.split)
[00:41:43] *** Quits: olofj (sid7875@ilkley.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: Parth (sid502184@user/parth) (*.net *.split)
[00:41:43] *** Quits: noahmg123 (sid89117@ilkley.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: Nav (~Nav@2001:ac8:14:200::5) (*.net *.split)
[00:41:43] *** Quits: Tobbi (~Tobbi@2a02:8108:1240:48ec:9151:64f9:5c4c:ad39) (*.net *.split)
[00:41:43] *** Quits: powermail (uid385576@id-385576.uxbridge.irccloud.com) (*.net *.split)
[00:41:43] *** Quits: Kelsar (~quassel@user/kelsar) (*.net *.split)
[00:41:43] *** Quits: Daniel071 (~Daniel071@159-196-235-44.9fc4eb.mel.nbn.aussiebb.net) (*.net *.split)
[00:41:43] *** Quits: aphelion70 (aphelion@user/aphelion) (*.net *.split)
[00:41:44] *** Quits: Raito_Bezarius (~Raito@wireguard/tunneler/raito-bezarius) (*.net *.split)
[00:41:44] *** Quits: Fusl (fusl@1.0.0.127.in-addr.arpa.li) (*.net *.split)
[00:41:44] *** Quits: habnabit_ (habnabit@python/site-packages/habnabit) (*.net *.split)
[00:41:44] *** Quits: mz` (~mz`@user/mz/x-8532539) (*.net *.split)
[00:41:44] *** Quits: cleric (~cleric@2604:a880:2:d0::53b2:f001) (*.net *.split)
[00:41:44] *** Quits: ethereal (~ethereal@2001:19f0:7402:2dd::1337) (*.net *.split)
[00:41:44] *** Quits: realitygaps (~realityga@user/realitygaps) (*.net *.split)
[00:41:44] *** Quits: smoerk (~quassel@user/smoerk) (*.net *.split)
[00:41:44] *** Quits: brlin (sid357232@id-357232.helmsley.irccloud.com) (*.net *.split)
[00:41:44] *** Quits: dagmcr (sid323878@id-323878.uxbridge.irccloud.com) (*.net *.split)
[00:41:44] *** Quits: kcnickerson (sid289503@id-289503.uxbridge.irccloud.com) (*.net *.split)
[00:41:44] *** Quits: neoweb (sid343200@id-343200.lymington.irccloud.com) (*.net *.split)
[00:41:44] *** Quits: thebogbog (sid114333@id-114333.uxbridge.irccloud.com) (*.net *.split)
[00:41:44] *** Quits: skrblr_ (skrblr@2600:3c03::f03c:91ff:fe6b:e123) (*.net *.split)
[00:41:44] *** Quits: benoitc (sid1888@id-1888.tinside.irccloud.com) (*.net *.split)
[00:41:44] *** Quits: ruppert1 (~ruppert@2a02:810c:200:195c:21c:25ff:fe95:8294) (*.net *.split)
[00:41:44] *** Quits: davic (sid473656@user/davic) (*.net *.split)
[00:41:44] *** Quits: wiak (~wiak@nwgat.ninja) (*.net *.split)
[00:41:44] *** Quits: Yorick- (znc@vps.freegamehosting.eu) (*.net *.split)
[00:41:44] *** Quits: cuppajoeman (sid521943@id-521943.hampstead.irccloud.com) (*.net *.split)
[00:41:44] *** Quits: artart78 (~artart78@2001:41d0:a:3ba6::1) (*.net *.split)
[00:41:44] *** Quits: phoe (~phoe@user/phoe) (*.net *.split)
[00:41:44] *** Quits: Notir (~Notir@user/notir) (*.net *.split)
[00:41:44] *** Quits: pdx (~pdx@user/pdx) (*.net *.split)
[00:41:44] *** Quits: picooz_ (~picooz@user/picooz) (*.net *.split)
[00:41:44] *** Quits: nicoo (~nico@user/nicoo) (*.net *.split)
[00:41:44] *** Quits: fs2 (~fs@mail.fancyorg.at) (*.net *.split)
[00:41:44] *** Quits: Sherpard2 (~VPard@user/sherpard2) (*.net *.split)
[00:41:45] *** Quits: Hackintech (hackintech@user/hackintech) (*.net *.split)
[00:41:45] *** Quits: Reinhilde (ellenor@vice-chairwoman.of.freenode.management) (*.net *.split)
[00:41:45] *** Quits: Ferus (~anonymous@user/ferus) (*.net *.split)
[00:41:45] *** Quits: u_mad_bro (sid427158@id-427158.lymington.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: karl_ (~Karlssel@2001:41d0:8:9a4b::1) (*.net *.split)
[00:41:45] *** Quits: southerntofu3 (southernto@thunix.net) (*.net *.split)
[00:41:45] *** Quits: georg (~quassel@bnc.ee) (*.net *.split)
[00:41:45] *** Quits: derelict (~derelict@user/derelict) (*.net *.split)
[00:41:45] *** Quits: tofupup_ (~tofupup@user/tofupup) (*.net *.split)
[00:41:45] *** Quits: welterde (welterde@thinkbase.srv.welterde.de) (*.net *.split)
[00:41:45] *** Quits: jorsk (~josh@gojira.kaiju.net) (*.net *.split)
[00:41:45] *** Quits: 040AAH1DN (~root@ip209.ip-94-23-121.eu) (*.net *.split)
[00:41:45] *** Quits: fo0bar (fo0bar@feh.colobox.com) (*.net *.split)
[00:41:45] *** Quits: Meroje_ (~Meroje@user/meroje) (*.net *.split)
[00:41:45] *** Quits: Melsom_ (amh@185.181.60.200) (*.net *.split)
[00:41:45] *** Quits: tmbg_ (~bob@2001:4801:7827:101:be76:4eff:fe10:8db6) (*.net *.split)
[00:41:45] *** Quits: samh_ (foobar@poulet.zoy.org) (*.net *.split)
[00:41:45] *** Quits: ibutsu (ibutsu@user/ibutsu) (*.net *.split)
[00:41:45] *** Quits: sauce (~sauce@omae.wa.mou.shindei.ru) (*.net *.split)
[00:41:45] *** Quits: Pitr (~pj@p3.ictree.nl) (*.net *.split)
[00:41:45] *** Quits: xnbya2 (~xnbya@2a01:4f8:c17:cbdd::1) (*.net *.split)
[00:41:45] *** Quits: wildeboskat (~wbk@user/wildeboskat) (*.net *.split)
[00:41:45] *** Quits: friedrich_ (~friedrich@aextron.de) (*.net *.split)
[00:41:45] *** Quits: hl (~hl@user/hl) (*.net *.split)
[00:41:45] *** Quits: NiKaN (sid385034@id-385034.helmsley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: l0de (sid31830@id-31830.ilkley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: langerhans (~langerhan@user/langerhans) (*.net *.split)
[00:41:45] *** Quits: langlee (sid97604@id-97604.helmsley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: morfic (sid49509@id-49509.ilkley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: liam__ (sid7517@id-7517.helmsley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: purphoroff (purphoros@devforge.org) (*.net *.split)
[00:41:45] *** Quits: wolfy1339_ (~wolfy1339@hellomouse/dev/wolfy1339) (*.net *.split)
[00:41:45] *** Quits: Zachary_DuBois (~Zachary_D@yukimorikawa.zacharydubois.net) (*.net *.split)
[00:41:45] *** Quits: Gaelan_ (~gaelan@user/gaelan) (*.net *.split)
[00:41:45] *** Quits: ross (sid305269@user/ross) (*.net *.split)
[00:41:45] *** Quits: shawnz (sid134671@id-134671.uxbridge.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: integral (sid296274@user/integral) (*.net *.split)
[00:41:45] *** Quits: Pavrr (~Pavr@ip100.ip-51-38-104.eu) (*.net *.split)
[00:41:45] *** Quits: merpnderp (sid16744@id-16744.hampstead.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: snek (sid280155@id-280155.lymington.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: jakesyl__ (sid56879@id-56879.hampstead.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: manveru (sid26204@user/manveru) (*.net *.split)
[00:41:45] *** Quits: ^3^ (sid334263@user/zichy) (*.net *.split)
[00:41:45] *** Quits: h00k (sid431420@user/h00k) (*.net *.split)
[00:41:45] *** Quits: Puyo (sid500577@user/puyo) (*.net *.split)
[00:41:45] *** Quits: Southparkfan (sid11755@miraheze/Southparkfan) (*.net *.split)
[00:41:45] *** Quits: buoy49_ (sid386684@id-386684.uxbridge.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: kawaii_ (sid345572@id-345572.hampstead.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: glowcoil_ (sid3405@id-3405.tinside.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: AgileTomato (sid163528@id-163528.hampstead.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: oisota (~oisota@user/oisota) (*.net *.split)
[00:41:45] *** Quits: offbyone (sid910@id-910.helmsley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: Fusl__ (sid288759@id-288759.tinside.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: astra (sid289983@user/amish) (*.net *.split)
[00:41:45] *** Quits: Koragg (sid268081@Valeyard/Staff/Koragg) (*.net *.split)
[00:41:45] *** Quits: Manouchehri (sid384576@id-384576.hampstead.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: justcool393 (sid438064@id-438064.ilkley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: SoF (~skius@user/skius) (*.net *.split)
[00:41:45] *** Quits: rhe (~rhe@labyrinth.rhe.jp) (*.net *.split)
[00:41:45] *** Quits: beenz (~beenz@i.dont.know.how.com.puters.work) (*.net *.split)
[00:41:45] *** Quits: feuerrot (~feuerrot@shells.chaosdorf.de) (*.net *.split)
[00:41:45] *** Quits: jm18 (~jm18@37.59.54.216) (*.net *.split)
[00:41:45] *** Quits: edcragg (~edcragg@95.179.203.88) (*.net *.split)
[00:41:45] *** Quits: Guest8100 (~tinloaf@virt-no01.mrvm.net) (*.net *.split)
[00:41:45] *** Quits: itok (sid418430@id-418430.ilkley.irccloud.com) (*.net *.split)
[00:41:45] *** Quits: V3n3RiX (~quassel@redcorelinux/developer/v3n3rix) (*.net *.split)
[00:41:45] *** Quits: peterz (~quassel@j217100.upc-j.chello.nl) (*.net *.split)
[00:41:45] *** Quits: ikonia (~irc@user/ikonia) (*.net *.split)
[00:41:45] *** Quits: thurin (thurin@thurin.org) (*.net *.split)
[00:41:45] *** Quits: PauloHeaven (~Paul@arnage.d2s.ipv6.octoworld.fr) (*.net *.split)
[00:41:45] *** Quits: tinwood (~tinwood@canonical/tinwood) (*.net *.split)
[00:41:46] *** Quits: hook54321 (sid149355@user/hook54321) (*.net *.split)
[00:41:46] *** Quits: _tjr_ (~tjr@233.ip-144-217-92.net) (*.net *.split)
[00:41:46] *** Quits: ozymandias (~ozymandia@libre.theyareafter.us) (*.net *.split)
[00:41:46] *** Quits: Guest5853 (sid328387@id-328387.hampstead.irccloud.com) (*.net *.split)
[00:41:46] *** Quits: Ryozuki (~Ryozuki@user/ryozuki) (*.net *.split)
[00:41:46] *** Quits: wolfshappen (~waff@irc.furworks.de) (Max SendQ exceeded)
[00:41:46] *** Quits: [1997kB] (kfiven@wikimedia/-1997kb) (Excess Flood)
[00:44:13] *** Joins: asix (~Anders@user/asix)
[00:44:13] *** Joins: flynn (~mcbloch@user/flynn)
[00:44:13] *** Joins: kevank_ (~quassel@libera/sponsor/kevank)
[00:44:13] *** Joins: vogelfrei (vogelfrei@user/vogelfrei)
[00:44:13] *** Joins: bnf (~ben@user/bnf)
[00:44:13] *** Joins: dslegends (~dslegends@user/dslegends)
[00:44:13] *** Joins: lazywalker (~lazywalke@user/lazywalker)
[00:44:13] *** Joins: unicron (sid343426@hampstead.irccloud.com)
[00:44:13] *** Joins: crakilda (~quassel@web.pf.ie)
[00:44:13] *** Joins: hubvu_ (sid495858@tinside.irccloud.com)
[00:44:13] *** Joins: ByronJohnson (~bairyn@50-250-232-19-static.hfc.comcastbusiness.net)
[00:44:13] *** Joins: Zegnat (~Martijn@v22016013254630973.happysrv.de)
[00:44:13] *** Joins: Bossi (~quassel@p548379ef.dip0.t-ipconnect.de)
[00:44:13] *** Joins: les_ (~whome@user/les)
[00:44:13] *** Joins: jsb (~jsb@jakob.dev)
[00:44:13] *** Joins: ecool (~ecool@ecool.dev)
[00:44:13] *** Joins: Spydar007 (~spydar007@user/spydar007)
[00:44:13] *** Joins: AlanBell (~alanbell@internal.apertum.ie)
[00:44:13] *** Joins: blinky42 (~quassel@user/blinky42)
[00:44:13] *** Joins: muirrum (~muirrum@sourcehut/user/muirrum)
[00:44:13] *** Joins: [R] (~rs@genoce.org)
[00:44:13] *** Joins: dmt (~shrooms@znc.flexnet.org)
[00:44:13] *** Joins: kenwoodfox (~quassel@user/kenwoodfox)
[00:44:13] *** Joins: Marc (~Marc@phpbb/management/marc)
[00:44:13] *** Joins: Swant (~swant@libera/staff/swant)
[00:44:13] *** Joins: sinned6915 (~sinned691@vmi438683.contaboserver.net)
[00:44:13] *** Joins: CeBe (~cebe@zirc.m.cebe.net)
[00:44:13] *** Joins: thies (~thies@user/td00)
[00:44:13] *** Joins: kaipee (~quassel@host31-54-129-14.range31-54.btcentralplus.com)
[00:44:13] *** Joins: popey (~popey@ubuntu/member/popey)
[00:44:13] *** Joins: matt_ (~matt@ns503600.ip-198-100-146.net)
[00:44:13] *** Joins: swistak (~swistak@185.21.216.141)
[00:44:13] *** Joins: radiofree (~radiofree@user/radiofree)
[00:44:13] *** Joins: Joel (~jjshoe@user/joel)
[00:44:13] *** Joins: Hypfer (~Hypfer@user/hypfer)
[00:44:13] *** Joins: JustSomeGoon (~justsomeg@user/justsomegoon)
[00:44:13] *** Joins: arminweigl (~arminweig@sourcehut/user/arminweigl)
[00:44:13] *** Joins: WayToDoor (~WayToDoor@user/waytodoor)
[00:44:13] *** Joins: technically (~technical@user/technically)
[00:44:13] *** Joins: muep (~quassel@94-237-14-167.fi-hel2.upcloud.host)
[00:44:13] *** Joins: seabre (~seabre@user/seabre)
[00:44:13] *** Joins: whitenite (~whitenite@static.19.212.40.188.clients.your-server.de)
[00:44:13] *** Joins: SirnoChan (~SirnoChan@user/sirnochan)
[00:44:13] *** Joins: Zubin (~rubin@ender.afternet.org)
[00:44:13] *** Joins: nonchip (~quassel@mail.nonchip.de)
[00:44:13] *** Joins: GadgeteerZA (~quassel@user/gadgeteerza)
[00:44:13] *** erbium.libera.chat sets mode: +o Swant
[00:44:13] *** Joins: dgb_ (~dillon@ns513247.ip-167-114-157.net)
[00:44:13] *** Joins: utsuhorocks (~utsuhoroc@user/utsuhorocks)
[00:44:13] *** Joins: OPK (~OPK@user/opk)
[00:44:13] *** Joins: JackyB (sid514257@user/jackyb)
[00:44:13] *** Joins: ullbeking_ (sid5364@ilkley.irccloud.com)
[00:44:13] *** Joins: angular_mike_ (sid45533@ilkley.irccloud.com)
[00:44:13] *** Joins: hughrawlinson_ (sid11243@ilkley.irccloud.com)
[00:44:14] *** Joins: redlegion (sid429547@ilkley.irccloud.com)
[00:44:14] *** Joins: lxdr (~lxdr@user/lxdr)
[00:44:14] *** Joins: snalty_ (~Shhh@user/snalty)
[00:44:14] *** Joins: lonjil (~quassel@user/lonjil)
[00:44:14] *** Joins: Twister (~quassel@user/twister)
[00:44:14] *** Joins: Elon (~elon@2607:fdc0:6::39)
[00:44:14] *** Joins: keigel2001 (~keigel2k1@megan.keigel2001.net)
[00:44:14] *** Joins: ochronus (~ochronus@2a01:4f8:1c1c:be5b::1)
[00:44:14] *** Joins: LeShadow (~Shadow@user/leshadow)
[00:44:14] *** Joins: TadeusTaD (tadeustad@psi.koof.com.pl)
[00:44:14] *** Joins: qaisjp (sid26374@user/qaisjp)
[00:44:14] *** Joins: b3nw (sid7884@user/b3nw)
[00:44:14] *** Joins: zizzy (sid385519@id-385519.lymington.irccloud.com)
[00:44:14] *** Joins: Xe (~cadey@tailscale/xe)
[00:44:14] *** Joins: moonmoon (awoo@libera/staff/moonmoon)
[00:44:14] *** Joins: NightMonkey (~NightMonk@user/nightmonkey)
[00:44:14] *** Joins: xacktm (xacktm@user/xacktm)
[00:44:14] *** Joins: arcade (~arcade@static.220.243.119.168.clients.your-server.de)
[00:44:14] *** Joins: bleb (~cm@user/bleb)
[00:44:14] *** Joins: acro (~acro@user/acro)
[00:44:14] *** Joins: szgyg (~szgyg@user/szgyg)
